Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,24/03/2021,Reserves,Training Costs,St Mark'S Hospital Foundation,1415764,147,"135,000.00"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,785298,00000001/H41574,"95,209.51"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,785296,00000001/H41576,"98,472.11"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,785294,00000001/H51712,"733,941.60"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,850006,00000001/H67229,"74,518.24"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,979262,0000001/H147551,"834,778.94"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,990814,0000001/H156080,"33,486.18"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,990815,0000001/H156081,"56,680.20"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,990816,0000001/H156082,"63,611.71"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,990817,0000001/H156196,"40,262.61"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,990818,0000001/H156197,"45,103.71"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,990820,0000001/H156199,"83,501.12"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271728,0000001/H271925,"60,414.96"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271732,0000001/H271929,"33,486.18"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271734,0000001/H271931,"75,057.75"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271765,0000001/H271934,"63,611.71"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271766,0000001/H271935,"656,092.39"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271767,0000001/H279334,"40,509.37"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271769,0000001/H279336,"26,265.15"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271770,0000001/H279337,"57,013.86"
Department of Health,London North West Healthcare NHS Trust,31/03/2021,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1271771,0000001/H279338,"68,468.38"
Department of Health,London North West Healthcare NHS Trust,29/03/2021,Managed Print,It Leases,Vision ( Office Automation ) Limited,1419322,4365,"198,000.00"
Department of Health,London North West Healthcare NHS Trust,03/03/2021,Capital,Equipment,Omnicell Ltd,1389426,7319,"433,857.60"
Department of Health,London North West Healthcare NHS Trust,24/03/2021,Capital,Equipment,Omnicell Ltd,1418225,7464,"29,990.40"
Department of Health,London North West Healthcare NHS Trust,24/03/2021,Capital,Equipment,Omnicell Ltd,1418224,7465,"32,156.40"
Department of Health,London North West Healthcare NHS Trust,24/03/2021,Capital,Equipment,Omnicell Ltd,1418226,7466,"62,863.20"
Department of Health,London North West Healthcare NHS Trust,29/03/2021,Capital,I.C.T Hardware,Parity Medical,1420585,16662,"133,837.62"
Department of Health,London North West Healthcare NHS Trust,17/03/2021,Utilities N.P.H,Water And Sewerage,Castle Water Limited,1407547,5129086,"30,156.64"
Department of Health,London North West Healthcare NHS Trust,15/03/2021,H.R.  Services N.W.L,Work Permits,Lloyds Tsb,1418929,1130001903,"139,853.00"
Department of Health,London North West Healthcare NHS Trust,29/03/2021,Capital,Equipment,Athrodax Healthcare International Ltd,1424175,213333,"53,726.40"
Department of Health,London North West Healthcare NHS Trust,24/03/2021,Balance Sheet Lnwh,Pharmacy Stock Purchases,Novartis Pharma Uk Ltd,1419958,92410649,"31,606.80"
Department of Health,London North West Healthcare NHS Trust,03/03/2021,Obs And Gynae Medical N.P.H,Clinical Services Received,Bmi Healthcare,1104007,010_S1114_0519,"34,981.44"
