Date,Expense Type,Expense area,Supplier,Transaction,amount
6/30/2020,Clinical&Medical-Voluntary Sector,LONG TERM CONDITIONS,AGE UK CAMDEN,32117169,"38,666.66"
6/30/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),32556890,"30,056.17"
6/30/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),32556890,"14,962.57"
6/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ISLINGTON GP GROUP LTD (THE),32556890,"31,088.07"
6/30/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),32556890,"5,790.11"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,ENFIELD ONE LTD,32556891,"166,542.85"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,ENFIELD ONE LTD,32556892,"106,231.78"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,ENFIELD ONE LTD,32556892,"87,311.07"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32556997,"94,905.00"
6/30/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),32560208,"30,056.17"
6/30/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),32560208,"14,962.57"
6/30/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ISLINGTON GP GROUP LTD (THE),32560208,"31,088.07"
6/30/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,ISLINGTON GP GROUP LTD (THE),32560208,"5,790.11"
6/30/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,32562990,"39,991.25"
6/30/2020,C&M-APMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,32562990,"1,230.16"
6/30/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ENFIELD HEALTHCARE ALLIANCE LTD,32562990,622.95
6/30/2020,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,SOUTHERN HEALTH NHS FOUNDATION TRUST,32572389,"30,694.40"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,MEDICARE MEDICAL SERVICES LLP,32575018,"65,735.28"
6/30/2020,Computer Maintenance,NURSING AND QUALITY PROGRAMME,PROBRAND LTD,32587282,"72,552.52"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,BARNET FEDERATED GPS LTD,32587283,"150,280.00"
6/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION,32597740,"-31,734.73"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
WHITTINGTON HOSPITAL NHS TRUST (THE)",32597750,"43,333.33"
6/30/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - SPECIALIST SERVICES,CYGNET SURREY LTD,32598292,"45,944.63"
6/30/2020,Clinical&Medical-Voluntary Sector,HOSPICES,NORTH LONDON HOSPICE,32598470,"105,662.50"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DOCTORLINK LTD,32599125,"36,468.50"
6/30/2020,"Books, Journals & Subscr",MEDICINES MANAGEMENT - CLINICAL,PRESCQIPP CIC,32599447,"32,080.00"
6/30/2020,"Books, Journals & Subscr",MEDICINES MANAGEMENT - CLINICAL,PRESCQIPP CIC,32599447,"6,416.00"
6/30/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,PROBRAND LTD,32599499,"30,457.00"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32611681,"53,103.00"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32611684,"310,000.00"
6/30/2020,Hcare Srv Rec NHS Trust-Non Contract,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32611687,"620,000.00"
6/30/2020,Rent,ESTATES AND FACILITIES,HM REVENUE AND CUSTOMS,32612406,"122,871.37"
6/30/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,GYNAECOLOGY PARTNERSHIP LTD,32613586,"79,998.60"
6/30/2020,Audit Fees: Statutory,FINANCE,KPMG LLP,32613591,"25,250.00"
6/30/2020,Audit Fees: Statutory,FINANCE,KPMG LLP,32613591,"5,050.00"
6/30/2020,Audit Fees: Statutory,FINANCE,KPMG LLP,32613592,"25,250.00"
6/30/2020,Audit Fees: Statutory,FINANCE,KPMG LLP,32613592,"5,050.00"
6/30/2020,Audit Fees: Statutory,FINANCE,KPMG LLP,32613593,"25,250.00"
6/30/2020,Audit Fees: Statutory,FINANCE,KPMG LLP,32613593,"5,050.00"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32614044,"174,000.00"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32614045,"135,000.00"
6/30/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AUDIOLOGICAL SCIENCE LTD,32614047,"60,000.00"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32614115,"-66,587.00"
6/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32614116,"-50,802.00"
6/30/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,32614120,"-118,626.45"
