Date,Expense Type,Expense area,Supplier,Transaction,amount
7/31/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,LEWISHAM & GREENWICH NHS TRUST,32974222,"39,794.88"
7/31/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,LEWISHAM & GREENWICH NHS TRUST,32974227,"34,221.98"
7/31/2020,Clinical&Medical-Independent Sector,WINTER RESILIENCE,ABBEY RAVENSCROFT PARK NURSING HOME,32974415,"30,000.00"
7/31/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,TWINGLOBE CARE LTD,32974818,"35,950.09"
7/31/2020,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,TWINGLOBE CARE LTD,32974818,597.27
7/31/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,TWINGLOBE CARE LTD,32974818,"29,713.84"
7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,TWINGLOBE CARE LTD,32974818,"62,933.61"
7/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,TWINGLOBE CARE LTD,32974818,"56,271.14"
7/31/2020,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,BPAS,32974901,"34,054.65"
7/31/2020,Clinical&Medical-Independent Sector,WINTER RESILIENCE,ABBEY RAVENSCROFT PARK NURSING HOME,32976026,"31,000.00"
7/31/2020,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ACCOMPLISH GROUP,32976072,"35,075.57"
7/31/2020,Contract & Agency-Agency Int Mgr,QUALITY ASSURANCE,INTERQUEST GROUP (UK) LTD,32976618,"31,272.61"
7/31/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,MIND IN ENFIELD,32976665,"77,500.00"
7/31/2020,Basic Sal-Executive MedicalDirector,CEO/ BOARD OFFICE,INTERQUEST GROUP (UK) LTD,32976666,"30,849.12"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,BARNET FEDERATED GPS LTD,32976673,"150,280.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989241,"58,459.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989272,"77,675.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989278,"88,642.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989281,"51,245.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989288,"157,636.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989296,"64,260.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989301,"64,405.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989310,"72,422.00"
7/31/2020,Hcare Srv Rec NHS Trust-Non Contract,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32989311,"33,255.70"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989335,"71,534.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989337,"56,476.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989375,"59,517.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989380,"103,913.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989384,"63,230.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989392,"59,575.00"
7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,32989422,"180,336.51"
7/31/2020,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,KINGSTON HOSPITAL NHS FOUNDATION TRUST,32989428,"31,574.49"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989488,"60,157.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989492,"62,300.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32989495,"76,193.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - OTHER,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32989507,"42,301.89"
7/31/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,MIND IN BARNET,32989563,"37,381.50"
7/31/2020,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - OTHER,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32989648,"109,347.00"
7/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CENTRAL HEALTH EVOLUTION LTD,32991684,"67,476.00"
7/31/2020,Training Expenses,COMMISSIONING SCHEMES,BARNET FEDERATED GPS LTD,32992043,"107,420.68"
7/31/2020,Clinical&Medical-Voluntary Sector,LONG TERM CONDITIONS,AGE UK CAMDEN,32992047,"34,833.33"
7/31/2020,Clinical&Medical-Voluntary Sector,LONG TERM CONDITIONS,AGE UK CAMDEN,32992048,"34,833.33"
7/31/2020,Clinical&Medical-Voluntary Sector,LONG TERM CONDITIONS,AGE UK CAMDEN,32992049,"34,833.37"
7/31/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,MIND IN ENFIELD,32992054,"77,500.00"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,MEDICARE MEDICAL SERVICES LLP,33001690,"64,798.88"
7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,INTERSERVE HEALTHCARE LTD,33002048,"44,470.50"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DELL CORPORATION LTD,33003386,"31,150.00"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DELL CORPORATION LTD,33003388,"31,150.00"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DELL CORPORATION LTD,33003389,"31,150.00"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DELL CORPORATION LTD,33003390,"27,412.00"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DELL CORPORATION LTD,33004219,"52,065.36"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,DELL CORPORATION LTD,33004219,"10,413.07"
7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,33007223,"-199,031.00"
7/31/2020,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,BPAS,33007252,"38,838.47"
7/31/2020,Clinical&Medical-Voluntary Sector,HOSPICES,NORTH LONDON HOSPICE,33020034,"518,392.00"
7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,33020043,"308,427.17"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,FEDERATED 4 HEALTH LTD,33020761,"561,000.00"
7/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,ENFIELD ONE LTD,33021731,"166,542.85"
7/31/2020,Clinical&Medical-Othe Public Sector,CHILDREN SERVICES,LONDON BOROUGH OF BARNET,33034625,"803,961.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,NORTH EAST LONDON NHS FOUNDATION TRUST,33034638,"275,033.00"
7/31/2020,Hcare Srv Rec NHS Trust-Non Contract,CHILD AND ADOLESCENT MENTAL HEALTH,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,33034870,"68,000.00"
7/31/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,33034897,"-81,804.98"
7/31/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,LUKKA CARE HOMES (2010) LTD,33034962,"41,198.10"
7/31/2020,Cont Care-Interim Funding(Pre Panel),CHC ADULT FULLY FUNDED,LONDON BOROUGH OF ENFIELD,33037497,"133,000.00"
7/31/2020,Cont Care-Interim Funding(Pre Panel),CHC ADULT FULLY FUNDED,LONDON BOROUGH OF ENFIELD,33037500,"732,885.00"
7/31/2020,Cont Care-Interim Funding(Pre Panel),CHC ADULT FULLY FUNDED,LONDON BOROUGH OF ENFIELD,33037503,"558,872.00"
7/31/2020,Hcare Srv Rec Fdtn Trust-Non Contract,CHILD AND ADOLESCENT MENTAL HEALTH,ROYAL FREE LONDON NHS FOUNDATION TRUST,33055438,"100,000.00"
7/31/2020,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,CYGNET LEARNING DISABILITIES LTD,33055526,"34,224.00"
7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,33055782,"229,924.12"
7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,33055792,"217,150.61"
7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,33055795,"255,471.23"
7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,33055796,"217,150.61"
7/31/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE COLLABORATIVE,33055798,"357,659.77"
7/31/2020,External Consultancy Fees,REABLEMENT,CAMDEN VOLUNTEER BUREAU,33058815,"30,000.00"
7/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HAVERSTOCK HEALTHCARE LTD,33058817,"41,716.00"
7/31/2020,Training Expenses,GP FORWARD VIEW,MEDICUS HEALTH PARTNERS,33060184,"48,000.00"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ANGEL SURGERY,33068774,"86,396.11"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ANGEL SURGERY,33068774,"2,926.83"
7/31/2020,C&M-PMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,ANGEL SURGERY,33068774,"6,408.51"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ANGEL SURGERY,33068774,"1,669.74"
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ANGEL SURGERY,33068774,"5,196.66"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ANGEL SURGERY,33068774,"6,020.35"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"96,259.14"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"8,551.23"
7/31/2020,C&M-PMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,ABERNETHY HOUSE,33068776,"7,199.21"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"1,875.76"
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"7,894.79"
7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,990.47
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"9,950.40"
7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"5,520.77"
7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ABERNETHY HOUSE,33068776,"3,857.10"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARNOS GROVE MEDICAL CENTRE,33068777,"43,490.15"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARNOS GROVE MEDICAL CENTRE,33068777,"2,751.15"
7/31/2020,C&M-PMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,ARNOS GROVE MEDICAL CENTRE,33068777,"3,045.38"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARNOS GROVE MEDICAL CENTRE,33068777,793.48
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ARNOS GROVE MEDICAL CENTRE,33068777,"1,681.42"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARNOS GROVE MEDICAL CENTRE,33068777,"3,270.91"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,"45,558.05"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,"3,947.69"
7/31/2020,C&M-PMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,BINCOTE ROAD SURGERY,33068779,"3,377.01"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,879.88
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,"2,685.77"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,"3,620.61"
7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,344.21
7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BINCOTE ROAD SURGERY,33068779,182.6
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,33068780,"-29,410.04"
7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,33068780,"-2,185.76"
7/31/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,33068780,"-1,291.30"
7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,33068780,"-9,493.03"
7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,33068780,"-10,353.34"
7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BOUNDS GREEN GROUP PRACTICE,33068780,"-1,413.60"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRIDGE HOUSE SURGERY,33068782,"71,980.15"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,BRIDGE HOUSE SURGERY,33068782,"5,623.84"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRIDGE HOUSE SURGERY,33068782,"17,216.89"
7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BRIDGE HOUSE SURGERY,33068782,"1,299.48"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRIDGE HOUSE SURGERY,33068782,"4,635.81"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CROUCH HALL SURGERY,33068785,"58,385.73"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CROUCH HALL SURGERY,33068785,"4,684.08"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CROUCH HALL SURGERY,33068785,"14,660.45"
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CROUCH HALL SURGERY,33068785,"4,658.33"
7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CROUCH HALL SURGERY,33068785,"2,373.00"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CROUCH HALL SURGERY,33068785,"4,365.53"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,"75,871.43"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,"5,069.11"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,"18,957.56"
7/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,"8,133.33"
7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,"1,850.46"
7/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,69.19
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR CAPLAN,33068787,"5,095.64"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR IKUWUKE,33068789,"36,748.04"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR IKUWUKE,33068789,"2,476.15"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR IKUWUKE,33068789,"8,846.54"
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR IKUWUKE,33068789,"3,250.00"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR IKUWUKE,33068789,"2,343.72"
7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JEYARAJAH,33068791,"41,706.84"
7/31/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,DR JEYARAJAH,33068791,"3,403.02"
7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR JEYARAJAH,33068791,"10,490.32"
7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR JEYARAJAH,33068791,"6,616.67"
7/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR JEYARAJAH,33068791,"2,560.00"
7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JEYARAJAH,33068791,"3,576.82"
