Date,Expense Type,Expense area,Supplier,Transaction,amount
31/08/2020,C&M-PMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,3,33486030,"5,816.78"
31/08/2020,C&M-PMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,4,33508296,"27,639.74"
31/08/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,"38,930.45"
31/08/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,"7,600.00"
31/08/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,"2,590.98"
31/08/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,"2,369.39"
31/08/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,"2,112.96"
31/08/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,"1,247.50"
31/08/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADLER & ROSENBERG,33668305,737.7
31/08/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"98,976.65"
31/08/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"19,173.81"
31/08/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"4,019.21"
31/08/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"3,882.08"
31/08/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"3,187.50"
31/08/2020,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"2,280.21"
31/08/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,33485948,"1,827.96"
