Date,Expense Type,Expense area,Supplier,Transaction,amount
12/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34888676,"-54,333.33"
12/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888654,"-17,336.67"
12/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888654,"-15,789.49"
12/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888654,"-4,639.17"
12/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888654,"-2,289.02"
12/31/2020,C&M-APMS LES Primary Care Offer,LOCAL ENHANCED SERVICES,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34888676,-454.62
12/31/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888654,-322.87
12/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34888676,-104.31
12/31/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD(HANLEY),34888673,6.01
,,,,,8
12/31/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,34888643,8.16
12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR FJ MCKENZIE EAST FINCHLEY,34889531,31.2
12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ARCHWAY PRIMARY CARE TEAM,34888643,46.18
12/31/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD(HANLEY),34888673,85.76
12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE HOLLOWAY ROAD,34888657,87.68
12/31/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD(HANLEY),34888673,92.22
12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888655,99.63
12/31/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,JAMES WIGG PRACTICE,34888655,106.71
12/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAMDEN HEALTH IMPROVEMENT PRACTICE Y02674,34888677,208.62
12/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CLAASSEN & PARTNER,34889521,271.53
