Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,amount
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,32670638,"92,094.55"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,32670656,"93,968.54"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,32822483,"71,822.33"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32719899,"55,278.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32644187,"9,038,600.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32644225,"2,127,900.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,32822485,"67,951.50"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,C OLA,32822487,"52,607.30"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,32822489,"48,871.30"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,CHOSEN CARE GROUP LTD,32730134,"37,999.80"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CONCORDIA HEALTH LTD DAGENHAM,32670640,"285,880.53"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,32822491,"80,063.79"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,32822492,"71,238.57"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,32822498,"109,951.94"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR M EHSAN,32822494,"41,821.83"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,32822496,"75,519.06"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR N BILA,32839004,"60,531.14"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,32670642,"153,590.14"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,32822500,"81,668.94"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,EGTON MEDICAL INFORMATION SYSTEMS LTD,32599461,"-351,036.29"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,FIVE ELMS MEDICAL PRACTICE,32822502,"53,751.41"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,32822516,"265,931.24"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,32644238,"35,100.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,32670644,"46,484.76"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32644248,"165,700.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Income tax <1Yr,BALANCE SHEET,HMRC,32757130,"36,609.57"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32644256,"216,200.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32644262,"36,100.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,INHEALTH LTD,32594704,"94,178.02"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,INHEALTH LTD,32927416,"94,178.02"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,INHEALTH LTD,32594730,"-94,178.02"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,INHEALTH LTD,32927456,"-94,178.02"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,32670645,"-44,564.23"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,32670646,"282,490.59"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,JOHN & JOHN,32743982,"82,289.88"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,JOHN SMITH MEDICAL CENTRE,32670648,"39,417.58"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32957749,"374,996.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32644263,"38,000.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32957775,"-374,996.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,LABURNUM HEALTH CENTRE,32670660,"159,186.10"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEWISHAM & GREENWICH NHS TRUST,32644268,"38,600.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,32644277,"946,800.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Social Care-Res Long Stay Exp,COMMISSIONING - NON ACUTE,LONDON BOROUGH OF BARKING & DAGENHAM,32825825,"1,227,598.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Clinical Other,INTERMEDIATE CARE,LONDON BOROUGH OF BARKING & DAGENHAM,32906690,"62,000.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,M GOYAL,32839006,"185,699.73"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,MEDEFER LTD,32719954,"31,776.83"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MID AND SOUTH ESSEX FOUNDATION TRUST,32644284,"189,300.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32644292,"237,000.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,N NIRANJAN,32839009,"93,912.15"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ENGLAND,32809252,"47,649.17"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NEL CSU,32567304,"66,048.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NEL CSU,32567308,"67,032.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NEL CSU,32567309,"56,808.08"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NEL CSU,32567452,"-66,048.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NEL CSU,32567454,"-56,808.08"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS NEL CSU,32567458,"-67,032.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,NORTH EAST LONDON NHS FOUNDATION TRUST,32644297,"2,542,175.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hlthcre-Foundation Trsts,COMMUNITY SERVICES,NORTH EAST LONDON NHS FOUNDATION TRUST,32644303,"2,601,285.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,32644306,"31,400.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,32179607,"34,196.37"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,P PRASAD,32822506,"34,443.38"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Not For Profit,OUT OF HOURS,PARTNERSHIP OF EAST LONDON CO-OPERATIVES LTD,32557645,"41,306.47"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Not For Profit,OUT OF HOURS,PARTNERSHIP OF EAST LONDON CO-OPERATIVES LTD,32607832,"145,095.15"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical-Not For Profit,OUT OF HOURS,PARTNERSHIP OF EAST LONDON CO-OPERATIVES LTD,32581341,"84,000.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,PORTSMOUTH HOSPITALS NHS TRUST,32567294,"46,336.39"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,PRIME PRACTICE PARTNERSHIP LTD,32670654,"143,568.03"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,QUANSAH & PARTNERS,32822508,"84,225.82"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,RIPPLE ROAD MEDICAL CENTRE,32822510,"112,119.04"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,32644312,"71,800.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32644318,"50,000.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32927375,"63,958.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,SHAH & SHAH,32822512,"60,893.05"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,32670657,"-65,361.35"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,32670658,"131,923.31"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ALBANS SURGERY,32743981,"64,818.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical- Non NHS LES,COMMISSIONING SCHEMES,TOGETHER FIRST LTD,32809255,"76,436.93"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Clinical&Medical- Non NHS LES,COMMISSIONING SCHEMES,TOGETHER FIRST LTD,32607780,"114,779.95"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,32670651,"-40,992.02"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,TULASI MEDICAL CENTRE,32670652,"278,340.23"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,U A AFSER & AKM ARIF,32822514,"61,778.04"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,32644323,"157,400.00"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,32743980,"54,827.72"
Department of Health,NHS Barking And Dagenham CCG,30/06/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,32822518,"157,330.19"
