Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount,Description,Supplier Postcode
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,32415419,"17,701.00",Top Up for PO 628001349,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,32415419,"3,540.20",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/c24ec654-6d1a-5564-87ea-b549359061cc,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,NHS Recbles <1Yr-Srvc Recd-PCSS(L9),BALANCE SHEET,KCOM GROUP PLC,32415419,"2,948.61",No Quote ref NHS Barking Dagenham CCG - Crown commercial Services HSCN London aggregated Procurement,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,NHS Recbles <1Yr-Srvc Recd-PCSS(L9),BALANCE SHEET,KCOM GROUP PLC,32415419,"-4,707.06",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/c24ec654-6d1a-5564-87ea-b549359061cc,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Telecoms-Phone Instal & Maint,PRIMARY CARE IT,KCOM GROUP PLC,32415419,"5,834.30",Top Up for 628001349,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Telecoms-Phone Instal & Maint,PRIMARY CARE IT,KCOM GROUP PLC,32415419,"1,166.86",https://nww.einvoice-prod.sbs.nhs.uk:8179/invoicepdf/c24ec654-6d1a-5564-87ea-b549359061cc,HU1 3RE
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Clinical&Medical- Non NHS LES,COMMISSIONING SCHEMES,TOGETHER FIRST LTD,32704682,"477,449.02",Contract title / ref: 19-20B&D044 Together First Ltd ¿ Long Term Conditions Local Incentive Scheme,RM10 7DF
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989806,"-64,807.43",Credit on account ALL-W-000680072 as CN RAISED AGAINST UNDERPERFORMANCE- (M4 PERF 18/19 incl. 50% of 2.5% CQUIN) ,E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989816,"-54,245.28",Credit on account ALL-W-000680072 as CN RAISED AGAINST UNDERPERFORMANCE- (M7 PERF 18/19 incl. 50% of 2.5% CQUIN),E9 6SR
Department of Health,NHS Barking And Dagenham CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32989822,"-72,820.91",Credit on account ALL-W-000680072 as CN RAISED AGAINST UNDERPERFORMANCE- (M9 PERF 18/19 incl. 50% of 2.5% CQUIN) ,E9 6SR
