Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33485126,"2,908.72"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33485126,"50,012.29"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,A MOGHAL,33485126,"2,326.70"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33485126,961.3
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,33485126,"4,146.56"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33485144,"5,180.08"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33485144,"45,457.32"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ABBEY MEDICAL CENTRE,33485144,"2,105.90"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33485144,863.23
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33485144,"32,702.26"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33485144,"1,692.02"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,33485144,"3,997.98"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33616502,"40,662.68"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33616502,"1,357.25"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33616502,790.24
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33616502,"3,129.17"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,33616502,"3,226.67"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33456662,"9,038,600.00"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33456663,"2,127,900.00"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33616503,44.02
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33616503,"40,388.27"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33616503,782.96
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,33616503,"3,423.10"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,C OLA,33616504,"28,946.89"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C OLA,33616504,557.73
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,C OLA,33616504,832.8
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,C OLA,33616504,"1,416.67"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C OLA,33616504,"2,444.92"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33616506,462.21
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33616506,"31,409.23"
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33616506,596.53
Department of Health,NHS Barking And Dagenham CCG,8/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,33616506,"2,223.00"
