Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,33624846,"29,520.97"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718238,"-33,028.02"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718249,"-69,192.61"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718251,"-76,839.87"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718254,"-46,793.27"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718257,"-68,904.65"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718261,"-84,567.50"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718263,"165,318.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718266,"-37,108.34"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718276,"-65,840.54"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718293,"-72,420.74"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718300,"-43,810.79"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718304,"-65,126.27"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718307,"-75,669.31"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718311,"-86,497.44"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718313,"-81,038.63"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718314,"-40,513.43"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718319,"-78,417.77"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718322,"-105,591.95"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718343,"-37,508.64"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718349,"-102,078.27"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Recharge : Received,COMMUNITY SERVICES,NHS HAVERING CCG,33718359,"284,210.64"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Clinical Other,PRIMARY CARE DEVELOPMENT,TOGETHER FIRST LTD,33730608,"79,290.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Clinical Other,PRIMARY CARE DEVELOPMENT,TOGETHER FIRST LTD,33730616,"79,290.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Clinical Other,PRIMARY CARE DEVELOPMENT,TOGETHER FIRST LTD,33730619,"79,290.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,33736655,"27,296.99"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,33736655,"5,459.38"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Recharge : Received,CORPORATE COSTS & SERVICES,NHS SOUTH EAST LONDON CCG,33743411,"43,259.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,VALENCE MEDICAL CENTRE,33749618,"94,808.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CONCORDIA AMBULATORY CARE SERVICES LTD,33753440,"38,882.48"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33786230,"9,038,600.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33786245,"2,127,900.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,33786269,"35,100.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33786281,"165,700.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33786298,"216,200.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33786312,"36,100.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33786321,"38,000.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEWISHAM & GREENWICH NHS TRUST,33786332,"38,600.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33786342,"946,800.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MID AND SOUTH ESSEX FOUNDATION TRUST,33786367,"189,300.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33786384,"237,000.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,NORTH EAST LONDON NHS FOUNDATION TRUST,33786392,"2,542,175.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hlthcre-Foundation Trsts,COMMUNITY SERVICES,NORTH EAST LONDON NHS FOUNDATION TRUST,33786397,"2,601,285.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33786408,"31,400.00"
Department of Health,NHS Barking And Dagenham CCG,9/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33786416,"71,800.00"
