Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34164784,"2,908.72"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34164784,"50,150.35"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,A MOGHAL,34164784,"2,326.70"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34164784,961.3
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34164784,"32,706.60"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34164784,"4,146.56"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,"5,180.08"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,"45,593.85"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ABBEY MEDICAL CENTRE,34164799,"2,105.90"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,863.23
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,889.8
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,522.08
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,"1,692.02"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,279.48
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34164799,"3,997.98"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,"39,906.14"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,"1,357.25"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,790.24
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,"3,129.17"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,"3,226.67"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,"4,798.05"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34310322,"5,741.93"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,AJ MOBILITY LTD,34140514,"-54,799.80"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,34158733,"9,038,600.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,34229778,"267,500.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,34229794,"1,559,000.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34158734,"2,127,900.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,34288466,"40,268.42"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,34288466,782.96
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BK JAISWAL,34288466,"3,423.10"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,C OLA,34288467,"28,774.66"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C OLA,34288467,557.73
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,C OLA,34288467,277.6
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,C OLA,34288467,"1,416.67"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,C OLA,34288467,662.83
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C OLA,34288467,"2,444.92"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,34288469,"1,820.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,34288469,"31,331.40"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,34288469,596.53
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,34288469,"1,458.34"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHIBBER & GUPTA,34288469,"2,096.05"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,CHOSEN CARE GROUP LTD,34176805,"36,774.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CONCORDIA AMBULATORY CARE SERVICES LTD,34398102,"41,787.20"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CONCORDIA AMBULATORY CARE SERVICES LTD,34398109,"60,744.32"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,34288471,"40,770.35"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,34288471,804.19
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,34288471,"3,911.75"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR BK SHARMA & DR K RAI,34288471,"4,013.52"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"2,730.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"4,005.75"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"36,867.47"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"1,994.59"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR K KASHYAP & PARTNERS,34310323,"4,143.88"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,710.47
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"84,506.59"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,293.4
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"6,367.48"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,515.72
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K KASHYAP & PARTNERS,34310323,"2,644.59"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,"58,711.13"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,"1,143.47"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,"3,263.07"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,18.88
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,556.72
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,29.2
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR LAWRENCE & PARTNERS,34288478,"5,807.08"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,"42,975.90"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,"1,995.42"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,817.94
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,364.2
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,"3,835.42"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,"1,358.12"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M FATEH,34288476,"2,929.29"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR N BILA,34288480,"37,359.89"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N BILA,34288480,715.15
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N BILA,34288480,"2,530.05"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"1,005.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"3,562.60"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"75,587.20"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"5,032.35"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,DR TOLIA & PARTNERS,34189301,"3,545.76"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"16,956.34"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"2,505.76"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR TOLIA & PARTNERS,34189301,"5,205.88"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"1,458.43"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"4,342.87"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"5,896.16"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"2,822.16"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,24.69
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"3,450.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,226.09
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,40.89
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR TOLIA & PARTNERS,34189301,"7,015.99"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Clin Pharmacist,OPERATIONS MANAGEMENT,DR TOLIA & PARTNERS,34229800,"76,000.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,34288482,"36,227.22"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,34288482,730.15
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,34288482,841.45
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS ALKAISY & ISLAM,34288482,"3,876.47"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,34288493,"50,926.04"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,34288493,993.78
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,34288493,"4,566.33"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GABLES SURGERY,34288493,"4,067.66"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,34164787,981.38
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,34164787,"25,281.84"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,GREEN LANE SURGERY,34164787,"1,203.86"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,34164787,495.77
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,34164787,"3,175.00"
Department of Health,NHS Barking And Dagenham CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,34164787,"1,790.32"
