Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"2,908.72"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"50,150.35"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,A MOGHAL,34515963,"2,326.70"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,961.3
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"4,146.56"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"24,182.76"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"7,567.63"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"8,060.92"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,34515963,"22,702.89"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,"5,180.08"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,"45,593.85"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ABBEY MEDICAL CENTRE,34516011,"2,105.90"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,863.23
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,444.9
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,"38,062.58"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Prem Other,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,"4,176.64"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,"1,692.02"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34516011,"3,997.98"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34663290,"39,906.14"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34663290,"1,357.25"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34663290,790.24
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34663290,"3,129.17"
Department of Health,NHS Barking And Dagenham CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AHMAD & MONTEIRO,34663290,"3,226.67"
