Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,34817786,"53,000.00"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,34819526,"31,167.42"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,34819526,"6,233.51"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Payroll Dedns(NS) <1Yr-TUs,BALANCE SHEET,BARKING & HAVERING LMC,34827270,"30,870.41"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34845766,"-32,210.80"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34845781,"-31,139.43"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Hlthcre-Foundation Trsts,CHILD AND ADOLESCENT MENTAL HEALTH,NORTH EAST LONDON NHS FOUNDATION TRUST,34845806,"39,843.00"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34847611,"18,987.78"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34847611,"53,957.78"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34847612,"18,987.78"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34847612,"53,957.78"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34847613,"20,759.91"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34847613,"107,484.03"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34847614,"20,759.92"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34847614,"113,469.92"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,34847615,"19,997.43"
Department of Health,NHS Barking And Dagenham CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34847615,"81,606.97"
