Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35617744,"2,908.72"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35617744,"50,186.20"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35617744,560
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,A MOGHAL,35617744,"2,326.70"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,A MOGHAL,35617744,"10,520.00"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35617744,961.3
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35617744,"4,146.56"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,Miscellaneous Expenditure (L9),PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,35538669,"32,544.00"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PCN DES HEALTH AND WELLBEING COACH,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,35590014,"2,949.00"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,35590014,"5,180.08"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,35590014,"46,248.60"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,35590014,"3,892.65"
Department of Health,NHS Barking And Dagenham CCG,2/28/2021,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ABBEY MEDICAL CENTRE,35590014,280
