Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35502299,"26,551.26"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35846241,"31,348.32"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35846241,"6,269.64"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,Clinical&Medical-Voluntary Sector,HOSPICES,ST FRANCIS HOSPICE,35860595,"181,364.27"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,Clinical&Medical-Voluntary Sector,HOSPICES,ST FRANCIS HOSPICE,35860596,"181,364.28"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,Recharge : Received,NON RECURRENT PROGRAMMES,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,35860599,"250,000.00"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35927641,"2,908.72"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35927641,"50,186.20"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,A MOGHAL,35927641,"2,326.70"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35927641,961.3
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35927641,"11,447.00"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A MOGHAL,35927641,"4,146.56"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,35927644,981.38
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,35927644,"25,198.05"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,GREEN LANE SURGERY,35927644,"1,203.86"
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,35927644,495.77
Department of Health,NHS Barking And Dagenham CCG,3/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREEN LANE SURGERY,35927644,"3,175.00"
