Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,amount
Department of Health,NHS Havering CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,32285934,"45,265.53"
Department of Health,NHS Havering CCG,31/05/2020,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32374062,"93,757.40"
Department of Health,NHS Havering CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,AS JAWAD,32402760,"42,266.20"
Department of Health,NHS Havering CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,AVON ROAD SURGERY,32285960,"43,102.19"
Department of Health,NHS Havering CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BAIG & BAIG,32402759,"38,527.36"
Department of Health,NHS Havering CCG,31/05/2020,Clinical&Medical- Non NHS LES,COMMISSIONING SCHEMES,BARKING & HAVERING LMC,32363078,"32,858.39"
Department of Health,NHS Havering CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32306322,"12,811,700.00"
Department of Health,NHS Havering CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32339033,"310,355.00"
Department of Health,NHS Havering CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32323495,"-744,853.00"
Department of Health,NHS Havering CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32339126,"52,518.00"
Department of Health,NHS Havering CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32306323,"1,165,000.00"
Department of Health,NHS Havering CCG,31/05/2020,Clinical&Medical-Serv Recd-NHS Trst,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32413177,"112,785.00"
Department of Health,NHS Havering CCG,31/05/2020,Clinical&Medical-Serv Recd-NHS Trst,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32413180,"-112,785.00"
Department of Health,NHS Havering CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BEHESHTI & PARTNERS,32402757,"40,092.41"
Department of Health,NHS Havering CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BILLET LANE MEDICAL CENTRE,32402801,"30,574.09"
