Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Havering CCG,8/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,33425649,"55,550.26"
Department of Health,NHS Havering CCG,8/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,33425649,"11,110.15"
Department of Health,NHS Havering CCG,8/31/2020,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,LONDON BOROUGH OF HAVERING,33433678,"526,927.81"
Department of Health,NHS Havering CCG,8/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,33442894,"39,407.35"
Department of Health,NHS Havering CCG,8/31/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,KCOM GROUP PLC,33442894,"7,881.47"
Department of Health,NHS Havering CCG,8/31/2020,Miscellaneous Expenditure (L9),PRC DELEGATED CO-COMMISSIONING,HAVERING HEALTH LTD,33452826,"54,359.50"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33458988,"12,811,700.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33458989,"1,165,000.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,33458993,"35,800.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33458994,"199,900.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33458995,"138,900.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33458996,"38,300.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33458997,"31,100.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33458999,"1,152,400.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33459000,"30,700.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MID AND SOUTH ESSEX FOUNDATION TRUST,33459001,"641,500.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33459002,"219,500.00"
Department of Health,NHS Havering CCG,8/31/2020,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,NORTH EAST LONDON NHS FOUNDATION TRUST,33459003,"2,592,923.00"
Department of Health,NHS Havering CCG,8/31/2020,Hlthcre-Foundation Trsts,COMMUNITY SERVICES,NORTH EAST LONDON NHS FOUNDATION TRUST,33459005,"2,398,737.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33459008,"90,700.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33459010,"101,100.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST (THE),33459011,"45,800.00"
Department of Health,NHS Havering CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,33459012,"265,900.00"
Department of Health,NHS Havering CCG,8/31/2020,Recharge : Received,COMMISSIONING - NON ACUTE,NHS REDBRIDGE CCG,33462192,"48,000.00"
Department of Health,NHS Havering CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,33487266,"36,645.10"
Department of Health,NHS Havering CCG,8/31/2020,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ADUR & PARTNERS,33487266,"1,689.19"
Department of Health,NHS Havering CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,33487266,703.45
Department of Health,NHS Havering CCG,8/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,33487266,"2,033.34"
