Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,amount
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,35590668,"36,256.65"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,35590668,980
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,ADUR & PARTNERS,35590668,"1,689.19"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,35590668,703.45
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,35590668,"2,033.34"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADUR & PARTNERS,35590668,"3,904.18"
Department of Health,NHS Havering CCG,2/28/2021,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,AJ MOBILITY LTD,35626117,"92,946.30"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AVON ROAD SURGERY,35590693,"35,332.28"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AVON ROAD SURGERY,35590693,840
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,AVON ROAD SURGERY,35590693,924.42
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,AVON ROAD SURGERY,35590693,"1,593.37"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AVON ROAD SURGERY,35590693,661.34
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AVON ROAD SURGERY,35590693,"3,804.98"
Department of Health,NHS Havering CCG,2/28/2021,Payroll Dedns(NS) <1Yr-TUs,BALANCE SHEET,BARKING & HAVERING LMC,35682541,"37,837.38"
Department of Health,NHS Havering CCG,2/28/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,35618037,"12,811,700.00"
Department of Health,NHS Havering CCG,2/28/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,35618049,"1,165,000.00"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEHESHTI & PARTNERS,35741483,700
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEHESHTI & PARTNERS,35741483,"35,117.95"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BEHESHTI & PARTNERS,35741483,686.55
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEHESHTI & PARTNERS,35741483,933.12
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEHESHTI & PARTNERS,35741483,"3,045.97"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BILLET LANE MEDICAL CENTRE,35741518,980
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BILLET LANE MEDICAL CENTRE,35741518,"26,413.21"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BILLET LANE MEDICAL CENTRE,35741518,514.84
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BILLET LANE MEDICAL CENTRE,35741518,"2,913.43"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,"1,680.00"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,"25,436.81"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,875.75
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,486.49
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,"3,533.34"
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,859.12
Department of Health,NHS Havering CCG,2/28/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C T C MARKS,35741484,"1,548.95"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,"55,344.38"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,840
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,352.16
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS LES Extended Hours,LOCAL ENHANCED SERVICES,C TRAN,35590670,"2,479.55"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,"1,036.50"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,"8,108.33"
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS Prem Other,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,108.33
Department of Health,NHS Havering CCG,2/28/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,C TRAN,35590670,"5,048.41"
