Date,Expense area,expense type,Supplier,Transaction Number,Amount
30/04/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARTS HEALTH NHS TRUST,31753266,"175,000.00"
30/04/2020,Voids and Subsidies,PROGRAMME PROJECTS,COMMUNITY HEALTH PARTNERSHIPS LTD,31760985,"33,950.98"
30/04/2020,Programme Support Costs,PCTF Revenue,NEWHAM HEALTH COLLABORATIVE LTD,31764988,"44,838.68"
30/04/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NEWHAM HEALTH COLLABORATIVE LTD,31764991,"31,410.75"
30/04/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HC ONE OVAL LTD,31781378,"56,376.32"
30/04/2020,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,LONDON BOROUGH OF NEWHAM,31781444,"204,979.00"
30/04/2020,Programme Support Costs,PROGRAMME PROJECTS,LONDON BOROUGH OF NEWHAM,31781465,"588,000.00"
30/04/2020,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,LONDON BOROUGH OF NEWHAM,31785095,"568,299.00"
30/04/2020,Programme Support Costs,PROGRAMME PROJECTS,LONDON BOROUGH OF NEWHAM,31785096,"3,623,671.00"
30/04/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31799414,"-8,225.87"
30/04/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31799414,"-10,576.26"
30/04/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,LIBERTY BRIDGE ROAD PRACTICE,31799414,"-11,357.23"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,31807833,"445,936.57"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,31807834,"18,397,739.11"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MID AND SOUTH ESSEX FOUNDATION TRUST,31807835,"63,543.06"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION 
TRUST",31807836,"68,763.78"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,EAST LONDON NHS FOUNDATION TRUST,31807837,"7,586,632.95"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS 
FOUNDATION TRUST",31807838,"32,896.96"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,31807839,"366,664.03"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,31807840,"935,735.75"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,31807841,"75,617.32"
30/04/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,31807842,"79,386.76"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEWISHAM & GREENWICH NHS TRUST,31807843,"64,765.89"
30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,31807844,"1,318,619.81"
