Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
31/07/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33182386,"-107,418.88"
31/07/2020,Programme Support Costs,PROGRAMME PROJECTS,I SUPPORT BEHAVIOUR LTD,33082544,"-77,996.60"
31/07/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33182496,"-59,206.00"
31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33074034,"-39,201.62"
31/07/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32972935,"-38,016.00"
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,STRATFORD HEALTH CENTRE,33074034,"-37,646.57"
31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,"-27,922.72"
31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33091133,"-25,457.98"
31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,"-15,900.87"
31/07/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33074007,"-15,220.63"
31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,"-13,566.77"
31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ESSEX LODGE,33074054,"-10,943.95"
31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NEWHAM MEDICAL CENTRE,33074023,"-10,335.56"
