Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
31/08/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-13,002.62"
31/08/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-9,216.48"
31/08/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-8,648.72"
31/08/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33484931,"-7,618.97"
31/08/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33484931,"-7,124.72"
31/08/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-6,214.54"
31/08/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33484931,"-6,029.13"
31/08/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33484931,"-5,828.15"
31/08/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-5,823.96"
31/08/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,GRAHAM PRACTICE,33484943,"-5,313.50"
31/08/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-5,136.38"
31/08/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-3,936.64"
31/08/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-3,766.56"
31/08/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-3,634.04"
31/08/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-3,003.35"
31/08/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33484931,"-2,902.02"
31/08/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-2,557.56"
31/08/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-2,457.67"
31/08/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,E12 HEALTH CENTRE,33484941,"-2,204.27"
31/08/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,GRAHAM PRACTICE,33484943,"-1,791.21"
31/08/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33484931,"-1,666.39"
