Date,Expense Type,Expense area,Supplier,Transaction,Amount
30/11/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,607.7
30/11/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"1,403.23"
30/11/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"1,497.00"
30/11/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"1,960.00"
30/11/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"5,783.43"
30/11/2020,C&M-GMS Other Baseline Adjustment,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"6,634.28"
30/11/2020,C&M-GMS Prem Actual Rent,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"9,600.00"
30/11/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",ABBEY ROAD HEALTH CENTRE,34660851,"77,615.35"
30/11/2020,C&M-PMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS (CARPENTERS ROAD MEDICAL),34513728,"7,750.48"
30/11/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS (CARPENTERS ROAD MEDICAL),34513728,"128,816.37"
30/11/2020,C&M- PCN DES CARE HOME PREMIUM,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS (LUCAS AVENUE),34513722,60
30/11/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS (LUCAS AVENUE),34513722,905.19
30/11/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",AT MEDICS (LUCAS AVENUE),34513722,"1,126.56"
