Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,amount
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Commercial Sector,NCAS/OATS,ACCELERATE CIC,31952991,"36,000.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32033930,"80,001.50"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),31792890,"128,451.31"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,31943827,"49,939.08"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,31732078,"9,393,500.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,31732148,"9,393,500.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,31798887,"9,393,500.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32013514,"9,393,500.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,31732082,"6,312,100.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,31732152,"6,312,100.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,31798894,"6,312,100.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32013515,"6,312,100.00"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,32118529,"35,769.42"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,32118611,"34,982.54"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BROADWAY SURGERY,31943829,"51,367.46"
Department of Health,NHS Redbridge CCG,30/04/2020,Cont Care- Children,CHC CHILDREN,CAPITAL STAFFING SERVICES LTD,31892885,"32,092.88"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,31792868,"69,991.76"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CLAYHALL CLINIC,31943831,"123,377.51"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,COMMUNITAS CLINICS LTD,32033933,"38,955.22"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CONCORDIA AMBULATORY CARE SERVICES LTD,32033940,"77,193.08"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CONCORDIA AMBULATORY CARE SERVICES LTD,31952998,"49,533.12"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CRANBROOK SURGERY,31943834,"36,845.74"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,CYGNET HEALTHCARE LTD,32049833,"32,959.50"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,DMC HEALTHCARE LTD,32033934,"45,611.66"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,DMC HEALTHCARE LTD,31819305,"40,493.62"
Department of Health,NHS Redbridge CCG,30/04/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,DMC HEALTHCARE LTD,31952996,"31,934.06"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DOCTORS HOUSE,31943836,"71,243.60"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DR PRICE & PARTNERS - RYDAL,31943838,"89,616.01"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,DRIVE SURGERY,31943840,"49,789.81"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,31792872,"61,145.15"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,EASTWOOD MEDICAL CENTRE,31943846,"55,304.56"
Department of Health,NHS Redbridge CCG,30/04/2020,Computer Hardware Purch,NON RECURRENT PROGRAMMES,EGTON MEDICAL INFORMATION SYSTEMS LTD,31753670,"41,727.42"
Department of Health,NHS Redbridge CCG,30/04/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,EGTON MEDICAL INFORMATION SYSTEMS LTD,32029878,"91,228.88"
Department of Health,NHS Redbridge CCG,30/04/2020,C&M-GMS IT Comm Servs -GP Practices,PRIMARY CARE IT,EGTON MEDICAL INFORMATION SYSTEMS LTD,32029856,"81,989.94"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,EGTON MEDICAL INFORMATION SYSTEMS LTD,31744172,"36,979.20"
Department of Health,NHS Redbridge CCG,30/04/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ELMHURST PRACTICE,31943843,"35,167.98"
