Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,amount
Department of Health,NHS Redbridge CCG,31/05/2020,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32368335,"80,001.50"
Department of Health,NHS Redbridge CCG,31/05/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32242188,"30,000.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,32287076,"-31,513.05"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,32287077,"96,004.51"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),32287099,"-140,698.37"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),32287100,"321,894.09"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,32401088,"48,251.13"
Department of Health,NHS Redbridge CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32305959,"9,393,500.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32341954,"152,118.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,32323044,"-365,084.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32305960,"6,312,100.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Clinical&Medical-Serv Recd-NHS Trst,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32410907,"654,943.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Clinical&Medical-Serv Recd-NHS Trst,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32410938,"-654,943.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,BROADWAY SURGERY,32401090,"56,579.07"
Department of Health,NHS Redbridge CCG,31/05/2020,Cont Care- Children,CHC CHILDREN,CAPITAL STAFFING SERVICES LTD,32336127,"31,057.63"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,32287079,"79,955.23"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CLAYHALL CLINIC,32401092,"86,118.20"
Department of Health,NHS Redbridge CCG,31/05/2020,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,COMMUNITAS CLINICS LTD,32368340,"31,164.18"
Department of Health,NHS Redbridge CCG,31/05/2020,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CONCORDIA AMBULATORY CARE SERVICES LTD,32368354,"61,754.46"
Department of Health,NHS Redbridge CCG,31/05/2020,Computer Maintenance,IM&T,CORPORATE RECYCLING SOLUTIONS LTD,32367571,"47,370.00"
Department of Health,NHS Redbridge CCG,31/05/2020,Contract Value,PRC DELEGATED CO-COMMISSIONING,CRANBROOK SURGERY,32401094,"36,688.14"
