Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Redbridge CCG,9/30/2020,NHS Recbles <1Yr-Srvc Recd-PCSS(L9),BALANCE SHEET,KCOM GROUP PLC,33424675,-358.89
Department of Health,NHS Redbridge CCG,9/30/2020,Telecoms-Data lines,PRIMARY CARE IT,KCOM GROUP PLC,33424675,"25,028.42"
Department of Health,NHS Redbridge CCG,9/30/2020,Telecoms-Data lines,PRIMARY CARE IT,KCOM GROUP PLC,33424675,358.89
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718330,"76,634.92"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718348,"90,007.07"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718412,"75,104.82"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718443,"-35,437.44"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718478,"-63,432.22"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718489,"-84,569.25"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718568,"-109,663.68"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718601,"413,056.00"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718659,"-61,965.62"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718669,"-48,054.87"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718711,"-89,432.78"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718758,"-85,011.16"
Department of Health,NHS Redbridge CCG,9/30/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718853,"-111,467.38"
