Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Redbridge CCG,10/31/2020,Clinical&Medical-Commercial Sector,NCAS/OATS,ACCELERATE CIC,34220818,"40,000.00"
Department of Health,NHS Redbridge CCG,10/31/2020,Clinical&Medical-Commercial Sector,NCAS/OATS,ACCELERATE CIC,34220839,"-40,000.00"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,622.32
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,"31,467.92"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,510.85
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,"3,320.83"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,"1,802.08"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,133.25
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,34165805,"2,427.45"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"2,957.49"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"149,546.58"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"2,417.83"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"12,569.13"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"1,535.53"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"9,940.00"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),34165828,"9,907.10"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,34286563,"39,939.35"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,34286563,770.43
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,34286563,415.6
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,34286563,"3,225.00"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,34286563,"8,899.92"
Department of Health,NHS Redbridge CCG,10/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BALFOUR ROAD SURGERY,34286563,"3,551.72"
Department of Health,NHS Redbridge CCG,10/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,34158612,"9,393,500.00"
