Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Redbridge CCG,12/31/2020,Clinical&Medical-Voluntary Sector,HOSPICES,ST FRANCIS HOSPICE,34799484,"113,826.27"
Department of Health,NHS Redbridge CCG,12/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,34812895,"38,199.74"
Department of Health,NHS Redbridge CCG,12/31/2020,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,34812895,"7,639.99"
Department of Health,NHS Redbridge CCG,12/31/2020,Voids and Subsidies,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34845369,"-50,052.14"
Department of Health,NHS Redbridge CCG,12/31/2020,Cont Care- Children,CHC CHILDREN,SPRING CONSULT UK LTD,34848672,"32,035.71"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,34863177,"40,611.96"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HEALTHBRIDGE DIRECT LTD,34863179,"42,012.38"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,34887805,"43,839.25"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,34887805,280
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS LES Basket of Procedures,LOCAL ENHANCED SERVICES,FENCEPIECE ROAD MEDICAL CENTRE,34887805,"6,065.00"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,34887805,846.32
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,34887805,"2,275.00"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,34887805,"3,664.82"
Department of Health,NHS Redbridge CCG,12/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FULLWELL MEDICAL CENTRE,34887807,"92,738.15"
