Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Redbridge CCG,1/31/2021,Miscellaneous Expenditure (L9),PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,34633072,"65,812.07"
Department of Health,NHS Redbridge CCG,1/31/2021,Miscellaneous Expenditure (L9),PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,34633072,"53,240.96"
Department of Health,NHS Redbridge CCG,1/31/2021,Clinical&Medical-Clinical Other,ACUTE COMMISSIONING,EVOLUTIO CARE INNOVATIONS LTD,35140472,"43,345.00"
Department of Health,NHS Redbridge CCG,1/31/2021,Computer Hardware Purch,IM&T,XMA LTD,35151339,"37,450.00"
Department of Health,NHS Redbridge CCG,1/31/2021,Computer Hardware Purch,IM&T,XMA LTD,35151339,"7,490.00"
Department of Health,NHS Redbridge CCG,1/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35159213,"43,109.75"
Department of Health,NHS Redbridge CCG,1/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35159213,"8,621.99"
Department of Health,NHS Redbridge CCG,1/31/2021,Basic Sal-Rechgs to-from Other NHS,NON RECURRENT PROGRAMMES,NHS TOWER HAMLETS CCG,35198306,"52,250.75"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,637.86
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,"32,253.89"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,3.17
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,510.85
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,"6,120.00"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,"3,320.83"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,"1,802.08"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,133.25
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35235343,"2,427.45"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35235345,"63,668.97"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35235345,"1,239.59"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35235345,"4,333.33"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35235345,"1,652.94"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35235345,"6,274.37"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35235347,"67,166.52"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35235347,"1,297.72"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35235347,"4,166.67"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35235347,"1,164.33"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35235347,365.49
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35235347,"6,003.25"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"44,223.70"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,855.51
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"5,571.97"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"4,011.66"
Department of Health,NHS Redbridge CCG,1/31/2021,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"13,818.72"
Department of Health,NHS Redbridge CCG,1/31/2021,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"8,648.72"
Department of Health,NHS Redbridge CCG,1/31/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"9,212.49"
Department of Health,NHS Redbridge CCG,1/31/2021,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35235349,"12,973.08"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35235351,"43,747.02"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35235351,846.32
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35235351,"2,275.00"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35235351,"3,664.82"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FULLWELL MEDICAL CENTRE,35235353,"92,841.70"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FULLWELL MEDICAL CENTRE,35235353,"1,798.59"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,FULLWELL MEDICAL CENTRE,35235353,"2,990.32"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FULLWELL MEDICAL CENTRE,35235353,"7,094.49"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,35235355,"56,807.18"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,35235355,"1,082.47"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,35235355,"2,575.00"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GROVE SURGERY,35235355,"4,843.74"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,OAK TREE MEDICAL PRACTICEICE,35235359,"102,554.13"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OAK TREE MEDICAL PRACTICEICE,35235359,"1,968.76"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,OAK TREE MEDICAL PRACTICEICE,35235359,"11,684.00"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,OAK TREE MEDICAL PRACTICEICE,35235359,"8,427.97"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUEEN MARY PRACTICE,35235361,"31,533.61"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,QUEEN MARY PRACTICE,35235361,599.06
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,QUEEN MARY PRACTICE,35235361,"2,479.24"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SOUTHDENE SURGERY,35235363,"55,354.95"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOUTHDENE SURGERY,35235363,"1,075.25"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOUTHDENE SURGERY,35235363,"3,720.83"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOUTHDENE SURGERY,35235363,"4,554.70"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KENWOOD MEDICAL CENTRE,35235365,"40,371.43"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KENWOOD MEDICAL CENTRE,35235365,788.96
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KENWOOD MEDICAL CENTRE,35235365,"4,985.78"
Department of Health,NHS Redbridge CCG,1/31/2021,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,KENWOOD MEDICAL CENTRE,35235365,121.38
