Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Redbridge CCG,2/28/2021,Clinical&Medical-Not For Profit,PRESCRIBING,ACCELERATE CIC,35646194,35261.9
Department of Health,NHS Redbridge CCG,2/28/2021,Clinical&Medical-Clinical Other,WHEELCHAIR SERVICE,AJ MOBILITY LTD,35625237,79309.4
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,3532.21
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,32253.89
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,3.17
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ALDERSBROOK MEDICAL CENTRE,35616602,5870
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,510.85
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,3200
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,3320.83
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,1802.08
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,133.25
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,140
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35616602,2427.45
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),35616614,4095.95
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),35616614,152399
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,AT MEDICS (THE LOXFORD PRACTICE),35616614,29035
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),35616614,2417.83
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),35616614,12569.13
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),35616614,1535.53
Department of Health,NHS Redbridge CCG,2/28/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS (THE LOXFORD PRACTICE),35616614,9907.1
