Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,amount
Department of Health,NHS Tower Hamlets CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640388,"-160,572.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS DES Violent Patients,"PRC DELEGATED CO-
COMMISSIONING",PRIMARY CARE CENTRE(THE),33485941,"-155,231.25"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33528559,"-147,867.16"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640304,"-47,879.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,33520418,"-30,996.32"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616462,"-12,221.39"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-,LIMEHOUSE PRACTICE,33616462,"-11,473.50"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616462,"-6,280.00"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616462,"-2,303.12"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616462,"-2,162.18"
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME - PMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,0.01
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension EEs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616463,36.04
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME-GMS GP Pension ERs Adjustments,"PRC DELEGATED CO-
COMMISSIONING",LIMEHOUSE PRACTICE,33616463,38.39
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Water Rates,COMMISSIONING,ISLAND MEDICAL CENTRE,33485932,67.08
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ISLAND MEDICAL CENTRE,33485932,77.04
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",DOCKLANDS MEDICAL CENTRE LONDON,33616447,140
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",POLLARD ROW SURGERY,33485934,169.16
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Clinical Waste,"PRC DELEGATED CO-
COMMISSIONING",BLITHEHALE MEDICAL CENTRE,33616441,189.79
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-,RUSTON STREET CLINIC,33616467,209.1
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ST ANDREWS HEALTH CENTRE,33485936,220.1
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",DR N SELVAN,33630227,252.69
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ST PAULS WAY MEDICAL CENTRE,33485938,264.12
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",ST STEPHENS HEALTH CENTRE LONDON,33616477,280
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Other,"PRC DELEGATED CO-
COMMISSIONING",ALBION HEALTH CENTRE,33616439,392.5
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,429.38
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",POLLARD ROW SURGERY,33485934,432.35
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",ISLAND HEALTH,33616460,440.2
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Prem Clinical Waste,"PRC DELEGATED CO-
COMMISSIONING",DR N SELVAN,33630227,521.44
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",ISLAND HEALTH,33616460,539.33
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Rates,PRC DELEGATED CO-,ISLAND MEDICAL CENTRE,33485932,540.58
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",DR S RANA-MASSON,33616450,561.26
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-GMS Other Addtl Staff Paymts,"PRC DELEGATED CO-
COMMISSIONING",DR N SELVAN,33630227,563.33
Department of Health,NHS Tower Hamlets CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"HOMERTON UNIVERSITY HOSPITAL NHS 
FOUNDATION TRUST",33696308,568.2
Department of Health,NHS Tower Hamlets CCG,31/08/2020,ME - GMS GP Prior Year ERs,"PRC DELEGATED CO-
COMMISSIONING",XX PLACE,33616482,584.51
Department of Health,NHS Tower Hamlets CCG,31/08/2020,C&M-APMS Prem Clinical Waste,"PRC DELEGATED CO-
COMMISSIONING",BARKANTINE PRACTICE,33485928,584.98
