Department,CCG,Date,Expense Area,Expense Type,Suppklier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Clinical&Medical-Voluntary Sector,LOCAL ENHANCED SERVICES,TOWER HAMLETS GP CARE GROUP,33718301,"-72,300.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,LONDON NORTH WEST HEALTHCARE NHS TRUST,33756144,"-51,646.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,LONDON NORTH WEST HEALTHCARE NHS TRUST,33756146,"-35,084.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,"-27,696.05"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,"-26,906.94"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,"-18,833.56"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956392,"-18,492.12"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956392,"-18,201.52"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,"-13,623.31"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33956399,"-10,532.44"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33956399,"-9,741.23"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33956399,"-8,256.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-7,436.53"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-6,559.55"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-6,423.74"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-6,147.75"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-APMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,"-5,976.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956392,"-5,287.03"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33877511,"-4,998.32"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-4,115.00"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,"-3,749.71"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-3,339.95"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,"-2,578.07"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,33956399,"-2,410.66"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,"-2,377.60"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,GLOBETOWN SURGERY,33956408,"-2,350.14"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ABERFELDY STREET PRACTICE,33956392,"-1,473.99"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,33818069,"-1,436.21"
Department of Health,NHS Tower Hamlets CCG,9/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,33956397,-961.77
