Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Tower Hamlets CCG,30/11/2020,Building Contracts,PROGRAMME PROJECTS,NHS PROPERTY SERVICES LTD,34566985,"-271,939.00"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,34703597,"-198,902.38"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,34659901,"-76,050.00"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,Building Contracts,PROGRAMME PROJECTS,NHS PROPERTY SERVICES LTD,34566985,"-54,387.80"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34659829,"-15,013.44"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34659829,"-10,547.86"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,34659901,"-4,202.77"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,SPITALFIELDS GMS PRACTICE,34659901,"-3,725.82"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34659829,"-2,642.33"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34659829,"-2,416.54"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34659829,"-1,708.88"
Department of Health,NHS Tower Hamlets CCG,30/11/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34589831,-556.4
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,CHRISP STREET HEALTH CENTRE,34659829,-373.91
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ISLAND MEDICAL CENTRE,34513732,12.39
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ST PAULS WAY MEDICAL CENTRE,34513737,28.89
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,34659846,50.53
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,34513730,66.96
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,CITY WELLBEING PRACTICE,34679294,75
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BARKANTINE PRACTICE,34513730,101.48
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR N SELVAN,34659846,104.28
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,34659889,123.14
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LIMEHOUSE PRACTICE,34659889,139.92
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,ISLAND HEALTH,34659881,140
Department of Health,NHS Tower Hamlets CCG,30/11/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,34589831,169
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-APMS Prem Other,PRC DELEGATED CO-COMMISSIONING,POLLARD ROW SURGERY,34513733,169.16
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BLITHEHALE MEDICAL CENTRE,34659824,189.79
Department of Health,NHS Tower Hamlets CCG,30/11/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,LONDON BOROUGH OF TOWER HAMLETS,34566826,210.15
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HARLEY GROVE MEDICAL CENTRE,34659869,264.12
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DOCKLANDS MEDICAL CENTRE LONDON,34659838,280
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,34659897,308.14
Department of Health,NHS Tower Hamlets CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,RUSTON STREET CLINIC,34659897,315
Department of Health,NHS Tower Hamlets CCG,30/11/2020,C&M-GMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,STROUTS PLACE MEDICAL CENTRE,34659910,345.92
