Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,Amount
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33534913,"-129,332.62"
Department of Health,NHS Waltham Forest CCG,31/08/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640152,"-116,062.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640314,"-98,315.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640359,"-88,638.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640183,"-60,595.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640341,"-51,876.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"ST GEORGES UNIVERSITY HOSPITALS NHS 
FOUNDATION TRUST",33695324,"-44,736.48"
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640296,"-37,105.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33640376,"-33,835.00"
Department of Health,NHS Waltham Forest CCG,31/08/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33583274,"-1,249.71"
