Department,CCG,Date,Expense Type,Expsense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34862697,"-440,952.61"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,,34978175,"-408,336.00"
Department of Health,NHS Waltham Forest CCG,12/31/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34912913,-556.4
Department of Health,NHS Waltham Forest CCG,12/31/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,34912913,-118
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,11.24
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,,35021939,11.35
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,34888614,27.27
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35041373,35.33
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34888621,42.22
Department of Health,NHS Waltham Forest CCG,12/31/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,34912913,44
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,COMELY BANK CLINIC,34888606,44.02
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,HIGHAM HILL MEDICAL CENTRE,34888618,64.64
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR BAILEY PRACTICE,35021918,70.54
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35021954,72.04
Department of Health,NHS Waltham Forest CCG,12/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,,35021939,72.79
