Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,28/02/2021,Clinical&Medical-Commercial Sector,PRIMARY CARE INVESTMENTS,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,35789295,"-188,000.00"
Department of Health,NHS Waltham Forest CCG,28/02/2021,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,HOLLY HOUSE HOSPITAL,35694773,"-180,907.66"
Department of Health,NHS Waltham Forest CCG,28/02/2021,Hcare Srv Rec Oth-NHS-Prior Year,LEARNING DIFFICULTIES,LONDON BOROUGH OF WALTHAM FOREST,35673751,"-48,784.43"
Department of Health,NHS Waltham Forest CCG,28/02/2021,Hcare Srv Rec Fdtn Trust-Non Contract,MENTAL HEALTH SERVICES - OTHER,NORTH EAST LONDON NHS FOUNDATION TRUST,35810522,"-30,000.00"
Department of Health,NHS Waltham Forest CCG,28/02/2021,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,35638347,"-1,480.32"
Department of Health,NHS Waltham Forest CCG,28/02/2021,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,35638347,-105
Department of Health,NHS Waltham Forest CCG,28/02/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,KIYANI MEDICAL PRACTICE,35758392,11.24
Department of Health,NHS Waltham Forest CCG,28/02/2021,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,35616616,25.53
Department of Health,NHS Waltham Forest CCG,28/02/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DRS SS & SJ KUMAR,35591633,27.27
Department of Health,NHS Waltham Forest CCG,28/02/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHINGFORD MEDICAL PRACTICE,35758302,35.33
Department of Health,NHS Waltham Forest CCG,28/02/2021,Post Graduate Loan Payable,BALANCE SHEET,HMRC,35638347,44
Department of Health,NHS Waltham Forest CCG,28/02/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,MANOR PRACTICE LONDON,35743072,45
