Department of Health,Date,Expense Type,Exepnse Area,Supplier,Transaction Number,Amount
Department of Health,,Computer Hardware Purch,IM&T PROJECTS,DELL CORPORATION LTD,,"34,400.00"
Department of Health,31-May-20,Recharge : Provided,EQUALITY AND DIVERSITY,INHEALTHCARE LIMITED,32147191,"72,000.00"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32172834,"85,532.04"
Department of Health,31-May-20,Professional Fees,GENERAL RESERVE - PROGRAMME,UNIFIED HEALTH & CARE LTD,32172867,"32,379.22"
Department of Health,31-May-20,Professional Fees,GENERAL RESERVE - PROGRAMME,CHS HEALTHCARE,32172885,"60,000.00"
Department of Health,31-May-20,Cont Care-Physical Disab (65+),GENERAL RESERVE - PROGRAMME,EMERGENCY PERSONNEL LTD,32172952,"33,743.16"
Department of Health,31-May-20,Cont Care-Physical Disab (65+),GENERAL RESERVE - PROGRAMME,EMERGENCY PERSONNEL LTD,32173053,"-33,743.16"
Department of Health,31-May-20,Clinical&Medical-Othe Public Sector,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32173063,"437,383.15"
Department of Health,31-May-20,Cont Care- Palliative Care,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32173266,"4,770.74"
Department of Health,31-May-20,Cont Care-Learning Disab(<65),GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32173266,"198,047.08"
Department of Health,31-May-20,Cont Care-Mental Health (<65),GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32173266,"9,128.30"
Department of Health,31-May-20,Cont Care-Physical Disab (65+),GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32173266,"91,463.74"
Department of Health,31-May-20,Cont Care-Physical Disab (<65),GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32173266,"104,843.69"
Department of Health,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32173266,"-85,532.04"
Department of Health,31-May-20,Computer Hardware Purch,IM&T PROJECTS,EXPONENTIAL-E LTD,32173273,"30,600.00"
Department of Health,31-May-20,Computer Software/License,IM&T PROJECTS,EXPONENTIAL-E LTD,32205758,"140,760.00"
Department of Health,31-May-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,32205828,"306,254.19"
Department of Health,31-May-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,32217728,"173,011.00"
Department of Health,31-May-20,Clinical&Medical-Commercial Sector,EFFECTIVE USE OF RESOURCES - (P),SPECIAL AMBULANCE SERVICE LTD,32217730,"27,000.00"
