Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Type,Amount
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,34089754,"-137,026.00"
Department of Health,NHS Brent CCG,31/10/2020,Cont Care- Children,CHC CHILDREN,CHILDRENS TRUST (THE),34089757,"27,196.00"
Department of Health,NHS Brent CCG,31/10/2020,NHS Recbles <1Yr-Recharges Out,BALANCE SHEET,SOFTCAT PLC,34121646,"20,952.50"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,XENZONE LTD,34151058,"95,760.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,KILBURN PBC CLUSTER,34151062,"71,586.99"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,CANCER BLACK CARE,34151067,"25,000.00"
Department of Health,NHS Brent CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,KILBURN PBC CLUSTER,34151069,"27,996.40"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,34151071,"107,769.37"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,34151074,"302,025.83"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,34151077,"173,011.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,CONNECT HEALTH LTD,34151078,"175,625.00"
Department of Health,NHS Brent CCG,31/10/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,34151080,"81,478.56"
Department of Health,NHS Brent CCG,31/10/2020,Hcare Srv Rec NHS Trust,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,34178592,"59,518.08"
Department of Health,NHS Brent CCG,31/10/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,SHARDA CARE LTD,34178607,"40,987.96"
