Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Brent CCG,30/11/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,34723068,"-224,395.00"
Department of Health,NHS Brent CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),34664293,"-101,337.53"
Department of Health,NHS Brent CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),34664291,"-78,752.38"
Department of Health,NHS Brent CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),34664292,"-74,208.26"
Department of Health,NHS Brent CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,34664294,"-71,241.32"
Department of Health,NHS Brent CCG,30/11/2020,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,34546026,"-34,974.65"
Department of Health,NHS Brent CCG,30/11/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,34660218,"-29,334.08"
Department of Health,NHS Brent CCG,30/11/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34660284,"-17,495.76"
Department of Health,NHS Brent CCG,30/11/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,34660284,"-17,350.96"
Department of Health,NHS Brent CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,SUDBURY & ALPERTON MEDICAL,34660286,"-11,346.72"
