Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Central London CCG,,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,LANARK MEDICAL CENTRE,,"32,512.00"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LANARK MEDICAL CENTRE,32288056,"1,764.49"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288056,"130,728.98"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288058,352.16
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288058,"2,436.91"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288058,"11,782.91"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288058,"1,775.40"
Department of Health,NHS Central London CCG,31-May-20,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288058,472.41
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,KINGS COLLEGE HEALTH CENTRE,32288058,101.8
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,32288058,"71,229.21"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,32288060,"7,196.33"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,32288060,"1,373.99"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,32288060,"16,314.58"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,32288060,"3,704.99"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,32288060,"55,474.47"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,32288062,"4,426.42"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,32288062,"1,062.26"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,32288062,"3,646.03"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32288062,"100,507.33"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32288064,"5,932.50"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32288064,"1,865.30"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32288064,"1,670.63"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32288064,"8,423.50"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,32288064,"5,947.13"
Department of Health,NHS Central London CCG,31-May-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32288064,"-1,209.72"
Department of Health,NHS Central London CCG,31-May-20,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32288065,-269.32
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32288065,-597.36
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32288065,"-13,204.40"
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32288065,"-15,674.49"
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32288065,-782.36
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GREEN SURGERY (THE),32288065,"32,551.54"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GREEN SURGERY (THE),32288067,"5,528.08"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GREEN SURGERY (THE),32288067,632.07
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GREEN SURGERY (THE),32288067,"4,865.70"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GREEN SURGERY (THE),32288067,"2,240.91"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),32288067,"45,382.21"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),32288069,"4,830.83"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),32288069,878.72
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),32288069,"6,676.58"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),32288069,"4,608.00"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WELLINGTON HEALTH CENTRE (THE),32288069,"2,832.93"
Department of Health,NHS Central London CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,32288069,"67,979.89"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,32288071,"1,179.43"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS STREATHAM PLACE,32288071,"3,137.88"
Department of Health,NHS Central London CCG,31-May-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HOMELESS HEALTH CIC,32288071,"34,662.09"
Department of Health,NHS Central London CCG,31-May-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOMELESS HEALTH CIC,32288073,65.03
Department of Health,NHS Central London CCG,31-May-20,Printing Design Costs,COMMISSIONING RESERVE,RIVINGTON PRESS LTD (THE),32288073,"25,439.00"
Department of Health,NHS Central London CCG,31-May-20,Hotel And Accomodation Costs,COMMISSIONING RESERVE,HOLIDAY INN LONDON-WEMBLEY,32297486,"233,640.00"
Department of Health,NHS Central London CCG,31-May-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CENTRAL LONDON HEALTHCARE,32297525,"234,541.46"
Department of Health,NHS Central London CCG,31-May-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,SWPCH,32303691,"114,115.38"
Department of Health,NHS Central London CCG,31-May-20,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,SWPCH,32303697,"29,258.08"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32303699,"49,690.25"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,"1,476.48"
Department of Health,NHS Central London CCG,,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,,"4,246.08"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,940.28
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,"12,703.45"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,"10,431.50"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,"2,976.60"
Department of Health,NHS Central London CCG,31-May-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,193.67
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,110.84
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CAVENDISH HEALTH CENTRE,32312359,181.81
Department of Health,NHS Central London CCG,31-May-20,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312359,"16,848.00"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"64,736.54"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"8,106.59"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"3,927.17"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"4,036.52"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,LISSON GROVE HEALTH CENTRE,32312361,"8,386.15"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"1,269.14"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"30,132.00"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,32312361,"5,259.15"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312361,"77,492.24"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,"4,951.50"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,"1,493.14"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,"59,606.25"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,"5,376.00"
Department of Health,NHS Central London CCG,31-May-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,"6,350.97"
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,6.74
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,186.39
Department of Health,NHS Central London CCG,31-May-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,32312362,24.3
Department of Health,NHS Central London CCG,31-May-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,32312362,"29,174.84"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32322307,"-60,969.00"
Department of Health,NHS Central London CCG,31-May-20,Basic Sal-Rechgs to-from Other NHS,COMMISSIONING - NON ACUTE,NHS BRENT CCG,32322329,"57,628.00"
Department of Health,NHS Central London CCG,31-May-20,Basic Sal-Rechgs to-from Other NHS,CONTRACT MANAGEMENT,NHS BRENT CCG,32322365,"141,037.00"
Department of Health,NHS Central London CCG,31-May-20,Basic Sal-Rechgs to-from Other NHS,PRIMARY CARE IT,NHS BRENT CCG,32322365,"27,396.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32322365,"62,804.06"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32322397,"37,135.20"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32322398,"114,682.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32334170,"132,844.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32334176,"4,411,905.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32334179,"1,548,670.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,32334181,"2,039,497.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32334182,"1,627,828.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32334185,"5,512,982.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32334188,"113,311.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,32334190,"1,122,152.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,LONDON NORTH WEST HEALTHCARE NHS TRUST,32334193,"96,589.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,32334195,"107,029.00"
Department of Health,NHS Central London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,EAST LONDON NHS FOUNDATION TRUST,32334197,"44,091.00"
