Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction number,Amount
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LISSON GROVE HEALTH CENTRE,34166996,"5,133.70"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,34166998,"67,863.74"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,34166998,"7,196.33"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,34166998,"1,373.99"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,34166998,"16,314.58"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,34166998,"31,033.35"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MARYLEBONE HEALTH CENTRE,34166998,"4,022.62"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,34167000,"55,326.76"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,34167000,"4,426.42"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,34167000,"1,062.26"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MILLBANK MEDICAL CENTRE,34167000,"3,966.42"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167001,"-5,071.33"
Department of Health,NHS Central London CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167001,"-10,202.85"
Department of Health,NHS Central London CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167001,"-34,728.04"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167002,"98,054.21"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167002,"5,932.50"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167002,"1,865.30"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167002,"4,211.75"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NEWTON MEDICAL CENTRE,34167002,"6,005.22"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,"8,546.66"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,"77,449.87"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,"4,951.50"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,"1,493.14"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,"2,688.00"
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,129.42
Department of Health,NHS Central London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,"6,361.67"
Department of Health,NHS Central London CCG,31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PADDINGTON GREEN HEALTH CENTRE,34167004,212.39
