Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,31803219,"-664,617.00"
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,"-118,171.43"
Department of Health,NHS Ealing CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32124467,"-99,183.19"
Department of Health,NHS Ealing CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32124562,"-99,183.19"
Department of Health,NHS Ealing CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31989103,"-98,519.63"
Department of Health,NHS Ealing CCG,30-Apr-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,OPTIVO,31803471,"-76,464.38"
Department of Health,NHS Ealing CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,32124446,"-49,410.00"
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,"-10,155.11"
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,"-3,228.76"
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,"-2,179.96"
Department of Health,NHS Ealing CCG,30-Apr-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,31867719,"-1,367.90"
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31871459,-176.22
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,31898276,16.56
Department of Health,NHS Ealing CCG,,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,GOODCARE PRACTICE,,20.48
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,31898274,20.69
Department of Health,NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,31898294,33.01
