Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,31-May-20,Clinical&Medical-Clinical Other,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,32336065,"1,049,000.00"
Department of Health,NHS Ealing CCG,31-May-20,Hcare Srv Rec NHS Trust-Non Contract,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,32340545,"538,000.00"
Department of Health,NHS Ealing CCG,31-May-20,Soc Care-Learn Disab Servs,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,32340546,"502,500.00"
Department of Health,NHS Ealing CCG,31-May-20,Hlthcre-Foundation Trsts,COMMISSIONING SCHEMES,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32300108,"380,000.00"
Department of Health,NHS Ealing CCG,31-May-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,32430046,"362,372.75"
Department of Health,NHS Ealing CCG,31-May-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,32430242,"362,372.75"
Department of Health,NHS Ealing CCG,31-May-20,Soc Care-Re-ablement services,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,32340546,"336,500.00"
Department of Health,NHS Ealing CCG,31-May-20,Soc Care-Integrated Assessments,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,32340546,"273,250.00"
Department of Health,NHS Ealing CCG,31-May-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,32340545,"263,000.00"
Department of Health,NHS Ealing CCG,31-May-20,Clinical&Medical-Independent Sector,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,32340545,"262,000.00"
Department of Health,NHS Ealing CCG,31-May-20,Recharge : Received,EDUCATION AND TRAINING,NHS BRENT CCG,32322561,"259,123.00"
Department of Health,NHS Ealing CCG,31-May-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32292521,"257,259.06"
Department of Health,NHS Ealing CCG,31-May-20,Soc Care-Community Equp&Adaptations,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,32340546,"230,500.00"
Department of Health,NHS Ealing CCG,31-May-20,Soc Care-Mental health services,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,32340546,"180,500.00"
