Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,32894349,"-3,819,187.09"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32583099,"-1,052,752.00"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32583180,"-317,584.00"
Department of Health,NHS Ealing CCG,30-Jun-20,Clinical&Medical-Othe Public Sector,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF EALING,32739334,"-181,000.00"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,32769374,"-138,419.82"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,32785014,"-107,654.94"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,32769299,"-91,780.88"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32569264,"-91,380.42"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32569312,"-91,380.42"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,FRIMLEY HEALTH NHS FOUNDATION TRUST,32569316,"-82,063.78"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,32739570,"-79,470.10"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,32674100,"-75,918.02"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,32673807,"-56,069.42"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Non Contract,GENERAL RESERVE - PROGRAMME,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,32723050,"-49,410.00"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32678266,"-38,209.00"
Department of Health,NHS Ealing CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,WHITTINGTON HOSPITAL NHS TRUST (THE),32894359,"-34,915.20"
Department of Health,NHS Ealing CCG,30-Jun-20,Clinical&Medical-Clinical Other,PRIMARY CARE DEVELOPMENT,WESTSEVEN GP,32894302,"-29,350.00"
Department of Health,NHS Ealing CCG,30-Jun-20,Clinical&Medical-Commercial Sector,PLANNED CARE,SPECSAVERS HEARCARE LTD,32769410,"-27,767.26"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,32674090,"-22,924.82"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,32674090,"-22,031.96"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,32769368,"-20,804.66"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,32769394,"-19,718.28"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,32769394,"-19,555.09"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,32769380,"-17,295.02"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,32769312,"-15,977.52"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,32769375,"-13,623.73"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,32769301,"-13,610.10"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,32769375,"-13,581.50"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,32769362,"-13,355.98"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,32769316,"-12,582.97"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,32769316,"-12,407.26"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,32719959,"-12,395.00"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,32785011,"-11,762.46"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MWH PRACTICE,32723005,"-11,710.54"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,32785011,"-11,512.30"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,32769351,"-10,749.00"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,32674103,"-10,482.78"
Department of Health,NHS Ealing CCG,,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,,"-10,418.86"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,32769333,"-10,050.40"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,32690282,"-9,973.50"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EALING PARK HEALTH CENTRE,32769370,"-9,818.60"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,32674102,"-9,759.20"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR AK SANDHU,32769306,"-9,753.34"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,32769380,"-9,710.06"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,32768853,"-9,696.32"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,32769379,"-9,415.00"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR K CABOT,32785007,"-9,210.26"
Department of Health,NHS Ealing CCG,,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY LONDON,,"-9,151.48"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,32674092,"-8,773.53"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,32769352,"-8,715.90"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,32769352,"-8,393.82"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,32769315,"-8,347.98"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,GORDON HOUSE SURGERY,32769380,"-8,344.67"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,32769348,"-8,307.05"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,32674101,"-7,894.24"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,32674092,"-7,874.66"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR DCM EVANS & PARTNERS,32769311,"-7,789.00"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR RC MOORE,32769348,"-7,731.41"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR RK BHATT,32769352,"-7,028.79"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,32674102,"-6,710.37"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,32674101,"-6,536.16"
Department of Health,NHS Ealing CCG,30-Jun-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,32768853,"-6,068.60"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DRS A LEES R NAISH & S BASSI,32769369,"-5,940.50"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,32674086,"-5,489.90"
Department of Health,NHS Ealing CCG,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SS SHERGILL,32769363,"-5,435.33"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,32690282,"-5,335.82"
Department of Health,NHS Ealing CCG,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,32690282,"-5,113.68"
