Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,31-Aug-20,Recharge : Received,GENERAL RESERVE - PROGRAMME,NHS BRENT CCG,33411476,"179,790.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ACCOMPLISH GROUP,33411476,"39,308.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Voluntary Sector,REABLEMENT,LONDON BOROUGH OF EALING,33418432,"167,500.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Community Equp&Adaptations,COMMUNITY SERVICES,LONDON BOROUGH OF EALING,33454232,"230,500.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Early Supp Hosp Dschg Schm,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"111,750.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Housing Projects,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"62,500.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Integrated Assessments,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"273,250.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Learn Disab Servs,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"502,500.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Mental health services,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"180,500.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Other Intermediate Care,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"130,000.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Soc Care-Re-ablement services,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"336,500.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Social Care-Domiciliary Care Exp,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"11,250.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Social Care-Supported Living,COLLABORATIVE COMMISSIONING,LONDON BOROUGH OF EALING,33454232,"731,744.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,FOCUSED HEALTHCARE LTD,33454232,"68,141.16"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - SPECIALIST SERVICES,METHODIST HOMES,33454578,"26,378.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Telecoms-Data lines,PRIMARY CARE IT,EXPONENTIAL-E LTD,33454638,"40,103.25"
Department of Health,NHS Ealing CCG,31-Aug-20,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,GLOBAL DIAGNOSTICS LTD,33457657,"116,415.00"
Department of Health,NHS Ealing CCG,31-Aug-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,LONDON BOROUGH OF EALING,33466096,"54,519.15"
Department of Health,NHS Ealing CCG,31-Aug-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,LONDON BOROUGH OF EALING,33466113,"70,178.60"
Department of Health,NHS Ealing CCG,31-Aug-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,LONDON BOROUGH OF EALING,33466114,"46,085.09"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33466115,"-39,809.77"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486138,"-3,309.58"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486138,-21.56
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486138,"-2,335.46"
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486138,"-2,608.95"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486138,"80,054.70"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,"1,645.79"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,630.15
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,62.47
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,886.41
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,"10,314.87"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,33.64
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,33486141,"2,847.92"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,33486141,207.5
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,33486143,"27,565.85"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,33486143,"4,344.42"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,33486143,510.27
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,33486143,"1,892.04"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR G BALACHANDRAN,33486143,"2,762.32"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,33486143,"64,076.60"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,33486147,"4,815.64"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,33486147,"1,218.87"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,33486147,"5,833.33"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,33486147,817.53
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MG PARMAR,33486147,"5,328.00"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33486147,"-70,740.51"
,,31-Aug-20,,,,33486149,
Department of Health,NHS Ealing CCG,,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,,"-5,800.82"
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33486149,-328.75
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,33486149,-508.32
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486149,"89,932.13"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486151,"1,713.98"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486151,"7,508.00"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486151,"8,462.50"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486151,"3,662.40"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486151,51.47
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33486151,"7,771.67"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33486151,"43,900.16"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33486153,"5,979.50"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33486153,823.95
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33486153,"2,508.33"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33486153,"1,247.50"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33486153,"4,009.39"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33486153,"23,399.84"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33486154,407.69
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33486154,"3,655.00"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33486154,"2,553.84"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33486154,"2,381.23"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486154,"-37,646.76"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486155,"-3,418.16"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCO Other,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486155,"-3,216.00"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486155,"-1,681.34"
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486155,"-3,292.71"
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486155,"-3,411.89"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486155,"75,493.22"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486156,"1,704.56"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486156,674.68
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33486156,"2,578.20"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486156,"-45,751.75"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486157,"-4,324.80"
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486157,-264.62
Department of Health,NHS Ealing CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486157,-409.16
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486157,"90,827.32"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486158,"2,178.72"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486158,838.32
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33486158,"4,033.29"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486158,"-54,105.16"
Department of Health,NHS Ealing CCG,31-Aug-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33486159,"-4,501.46"
