Department,,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33820939,51.47
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GURU NANAK MEDICAL CENTRE,33820939,"7,771.67"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,"43,900.16"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,410.85
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,"5,979.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,823.95
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,"2,508.33"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,"1,247.50"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GREENFORD AVENUE FHP,33820941,"4,009.39"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,"23,399.84"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,140
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,146.73
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,407.69
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,"3,655.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,"2,553.84"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOMERSET FAMILY HEALTH,33820942,"2,381.23"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33820944,"37,746.61"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33820944,674.68
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,33820944,"2,578.20"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33820946,"45,413.66"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33820946,"1,260.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33820946,838.32
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,33820946,"4,033.29"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,"54,442.37"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,"1,540.00"
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,234.77
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,853.64
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,52
Department of Health,NHS Ealing CCG,30-Sep-20,C&M-APMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,33820948,795.71
