Department ,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32031747,"-548,788.62"
Department of Health,NHS Harrow CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),32031657,"-27,316.84"
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,31972189,24.83
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,56.75
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,31951236,62.07
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,31951256,64.14
Department of Health,NHS Harrow CCG,,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,,93.11
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,113.79
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,115.18
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,31972187,136.55
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,31951222,142.76
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,142.76
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,31951230,148.97
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MD PANDYA,31972189,151.55
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RV RAJA,31951245,182.08
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,242.08
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,31972183,295.87
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,308.87
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,322.02
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,31972199,324.85
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,328.97
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,31951227,337.24
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,366.22
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,378.62
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,31951247,401.38
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,31972192,424.15
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR MP EDDINGTON & PARTNERS,31951243,440.2
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,31972189,446.26
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,MOLLISON WAY SURGERY (AT MEDICS LTD),31972200,454.57
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,31972198,455.37
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DRS R DAWOOD & R RUDD,31951251,468.75
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SMA FAROOQI & PARTNERS,31972194,475.87
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P J DAVID,31951241,482.84
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,31951236,502.71
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR KK VARA,31951232,515.04
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,516.67
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR L HOMMEL & PARTNERS,31972189,517.07
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,31972196,527.51
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,31972195,529.15
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,31951232,529.66
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PINNER ROAD SURGERY,31972201,541.22
Department of Health,NHS Harrow CCG,30-Apr-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR H MISTRY & PTNRS,31972186,544.89
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,31972193,550.36
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS R DAWOOD & R RUDD,31951251,574.93
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SHAFTESBURY MEDICAL CENTRE,31951251,587.67
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,31972187,594.1
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,31951222,596.69
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,31972182,608.29
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HEADSTONE ROAD SURGERY,31972195,628.33
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,31951256,639.06
Department of Health,NHS Harrow CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,31972185,655.59
