Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32455980,"-161,219.00"
Department of Health,NHS Harrow CCG,31-May-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,PHYSIOLINK CLINICS LTD,32460067,"-25,920.00"
Department of Health,NHS Harrow CCG,31-May-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,32407686,"-14,271.30"
Department of Health,NHS Harrow CCG,31-May-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,32407686,"-12,396.85"
Department of Health,NHS Harrow CCG,31-May-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,32407755,"-10,087.19"
Department of Health,NHS Harrow CCG,31-May-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,32407755,"-8,631.38"
Department of Health,NHS Harrow CCG,31-May-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,32407755,"-6,875.00"
Department of Health,NHS Harrow CCG,31-May-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,32407776,"-6,592.05"
Department of Health,NHS Harrow CCG,31-May-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,32407682,"-6,325.00"
Department of Health,NHS Harrow CCG,31-May-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,32407776,"-5,982.80"
Department of Health,NHS Harrow CCG,31-May-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,32407704,"-5,051.55"
Department of Health,NHS Harrow CCG,31-May-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,32407704,"-4,943.86"
Department of Health,NHS Harrow CCG,31-May-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,32407776,"-4,759.31"
Department of Health,NHS Harrow CCG,31-May-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,32407704,"-4,391.13"
