Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-GMS LES Demand Mgmt,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,32583234,"-558,260.00"
Department of Health,NHS Harrow CCG,30-Jun-20,NHS Payables <1Yr-Non PO Accruals,BALANCE SHEET,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,32823380,"-331,516.00"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MOLLISON WAY SURGERY (AT MEDICS LTD),32773558,"-110,284.68"
Department of Health,NHS Harrow CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,32690808,"-67,905.00"
Department of Health,NHS Harrow CCG,30-Jun-20,Programme Support Costs,GP FORWARD VIEW,RIDGEWAY SURGERY,32823382,"-41,666.67"
Department of Health,NHS Harrow CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Non Contract,GENERAL RESERVE - PROGRAMME,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,32773556,"-33,353.00"
Department of Health,NHS Harrow CCG,30-Jun-20,Hcare Srv Rec NHS Trust,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,32608216,"-32,298.33"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,32823365,"-26,354.54"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,32823381,"-21,484.08"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,32823360,"-21,388.44"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,32823347,"-19,049.62"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C NAGPAUL,32823337,"-18,730.78"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,32823335,"-18,547.80"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,32823369,"-17,095.84"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,32823339,"-13,994.08"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,32838989,"-10,976.84"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,32823383,"-8,518.86"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,32823360,"-6,875.00"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MOLLISON WAY SURGERY (AT MEDICS LTD),32823624,"-6,468.02"
Department of Health,NHS Harrow CCG,30-Jun-20,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,32823359,"-4,371.02"
