Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,31-Jul-20,Programme Support Costs,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,33354077,"-193,658.08"
Department of Health,NHS Harrow CCG,,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,,"-134,621.00"
Department of Health,NHS Harrow CCG,31-Jul-20,Hcare Srv Rec NHS Trust,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,33194919,"-111,220.00"
Department of Health,NHS Harrow CCG,31-Jul-20,Clinical&Medical-Clinical Other,GENERAL RESERVE - PROGRAMME,NHS BRENT CCG,33197013,"-70,780.50"
Department of Health,NHS Harrow CCG,,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,NHS PROPERTY SERVICES LTD,,"-68,562.54"
Department of Health,NHS Harrow CCG,31-Jul-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION,33194861,"-66,892.26"
Department of Health,NHS Harrow CCG,31-Jul-20,Hcare Srv Rec NHS Trust-Contract Variation,GENERAL RESERVE - PROGRAMME,LONDON AMBULANCE SERVICE NHS TRUST,33197000,"-60,768.80"
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS LES Anti-coagulation,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,33277710,"-40,350.01"
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS LES Anti-coagulation,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,33258719,"-39,400.00"
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS LES Anti-coagulation,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,33277702,"-37,550.00"
Department of Health,NHS Harrow CCG,31-Jul-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33229450,"-17,010.60"
Department of Health,NHS Harrow CCG,31-Jul-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33229450,"-14,986.80"
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33229444,"-13,567.50"
Department of Health,NHS Harrow CCG,31-Jul-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33229446,"-8,737.10"
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33229450,"-6,875.00"
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33229449,"-4,371.02"
Department of Health,NHS Harrow CCG,31-Jul-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33229446,"-4,324.36"
Department of Health,NHS Harrow CCG,31-Jul-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33229446,"-3,750.98"
Department of Health,NHS Harrow CCG,31-Jul-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33229450,"-3,657.02"
Department of Health,NHS Harrow CCG,31-Jul-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33229446,-309.54
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MD PANDYA,33229444,2.3
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,RJW LTD TA FIRST CHOICE MEDICAL CARE,33229477,9.21
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MD PANDYA,33229444,15.1
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,33229472,18.42
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,RJW LTD TA FIRST CHOICE MEDICAL CARE,33229477,20.81
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RV RAJA,33229458,23.03
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,33232751,25.33
Department of Health,NHS Harrow CCG,,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SMA FAROOQI & PARTNERS,,27.64
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J WIJERATNE & PTNRS,33229439,36.86
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,33229442,39.15
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR M DAVEY & PARTNERS,33229442,62.24
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,33229456,69.08
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,33248150,87.51
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,33248145,89.82
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,SHAFTESBURY MEDICAL CENTRE,33229470,98.86
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR RV RAJA,33229456,118.45
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR D C PATEL & PARTNERS HARROW,33229434,122.06
Department of Health,NHS Harrow CCG,31-Jul-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33248148,122.07
