Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,31-Aug-20,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - OTHER,SEQUENCE CARE GROUP,33617389,"-34,084.24"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33616891,"-15,110.44"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33616891,"-15,074.18"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33616887,"-13,567.50"
Department of Health,NHS Harrow CCG,31-Aug-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616913,"-11,504.04"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616866,"-10,986.81"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616913,"-10,800.00"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616913,"-10,137.35"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33616886,"-7,424.29"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33616891,"-6,875.00"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616913,"-6,135.93"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616866,"-5,812.87"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616865,"-4,825.00"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33616891,"-4,371.02"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33616887,"-4,130.86"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33616887,"-3,750.98"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616866,"-3,685.61"
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616913,"-2,700.00"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616912,"-2,567.50"
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,DR L PETERS & PARTNERS,33616890,"-2,328.30"
Department of Health,NHS Harrow CCG,31-Aug-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33616887,-309.54
Department of Health,NHS Harrow CCG,31-Aug-20,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,RIDGEWAY SURGERY,33616913,-282
Department of Health,NHS Harrow CCG,31-Aug-20,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616866,-220.79
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616866,-214.34
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,33616912,11.52
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VYAS & PNTERS,33616906,16.12
Department of Health,NHS Harrow CCG,31-Aug-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR C JENNER & PARTNERS,33616867,16.62
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHAFTESBURY MEDICAL CENTRE,33616916,18.42
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Additional Staff Payments,PRC DELEGATED CO-COMMISSIONING,V RAVIKUMAR,33616910,20
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,33616863,20.73
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEADSTONE ROAD SURGERY,33617384,20.73
Department of Health,NHS Harrow CCG,31-Aug-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,33616902,29.28
Department of Health,NHS Harrow CCG,31-Aug-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR SEYAN & PARTNERS,33616902,31.18
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR VYAS & PNTERS,33616906,32.28
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR GA GOLDEN & PARTNER,33616876,43.75
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SMA FAROOQI & PARTNERS,33616904,43.76
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,K KARIA,33616910,46.06
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR N MERALI & PTNRS,33616898,66.78
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M DAVEY & PARTNERS,33616882,78.31
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR F MCCLOGHRY & PARTNERS,33616871,82.91
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,V RAVIKUMAR,33616912,93.42
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PINNER ROAD SURGERY,33616918,101.33
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR KK VARA,33616886,111.84
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR K M AMIN & DR P K AMIN,33616880,140
Department of Health,NHS Harrow CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L HOMMEL & PARTNERS,33616888,142.78
