Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Clinical Other,GENERAL RESERVE - PROGRAMME,DR H MISTRY & PTNRS,33731283,"28,460.27"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BARCHESTER HEALTHCARE LTD,33732767,"8,985.57"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,Mental Health Services - S117 Mental Health,BARCHESTER HEALTHCARE LTD,33732767,"16,924.71"
Department of Health,NHS Harrow CCG,30-Sep-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,33732862,"25,286.08"
Department of Health,NHS Harrow CCG,30-Sep-20,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,33787919,"39,857.14"
Department of Health,NHS Harrow CCG,30-Sep-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,ST VINCENTS NURSING HOME,33787930,"25,433.51"
Department of Health,NHS Harrow CCG,30-Sep-20,Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,ST VINCENTS NURSING HOME,33787930,566.69
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - OTHER,CYGNET (DH) LTD,33787980,"35,781.75"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Over/ Under,GENERAL RESERVE - PROGRAMME,EAST AND NORTH HERTFORDSHIRE NHS TRUST,33805237,"-352,285.00"
Department of Health,NHS Harrow CCG,30-Sep-20,"Performance
Clinical&Medical-Commercial Sector",COMMUNITY SERVICES,PHYSIOLINK CLINICS LTD,33805257,"25,534.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Serv Recd-CCGs,PRIMARY CARE IT,NHS BRENT CCG,33805465,"82,035.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Serv Recd-CCGs,RECHARGES,NHS BRENT CCG,33805465,"203,688.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Programme Support Costs,GP FORWARD VIEW,HARROW HEALTH CIC,33805851,"42,583.33"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Clinical Other,GENERAL RESERVE - PROGRAMME,DR C NAGPAUL,33808379,"75,000.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33829589,"174,252.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Programme Support Costs,GP FORWARD VIEW,RIDGEWAY SURGERY,33829628,"45,833.33"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,NHS HOUNSLOW CCG,33829629,"27,921.20"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,INTERMEDIATE CARE,CARE UK COMMUNITY PARTNERSHIPS LTD,33829632,"145,921.43"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,INTERMEDIATE CARE,CARE UK COMMUNITY PARTNERSHIPS LTD,33829635,"38,528.57"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-APMS LES Urgent Care,URGENT CARE,PINN MEDICAL CENTRE,33829639,"41,675.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - OTHER,CYGNET (DH) LTD,33829680,"46,872.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33857253,"84,641.14"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,33857309,"2,253,330.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,33857318,"886,847.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,33857325,"107,943.15"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
EAST AND NORTH HERTFORDSHIRE NHS TRUST",33857340,"90,009.74"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS,33857348,"38,494.01"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"FOUNDATION TRUST
GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",33857360,"122,792.47"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33857370,"1,236,948.54"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33857394,"789,070.14"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33857405,"10,723,970.43"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,LONDON NORTH WEST HEALTHCARE NHS TRUST,33857415,"446,832.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,33857422,"676,557.97"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,33857427,"235,533.10"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,33857435,"987,936.83"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,33857447,"266,830.90"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33857468,"555,821.55"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,33857482,"458,183.03"
Department of Health,NHS Harrow CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
WEST HERTFORDSHIRE HOSPITALS NHS TRUST",33857491,"374,202.92"
Department of Health,NHS Harrow CCG,30-Sep-20,Computer Hardware Purch,PRIMARY CARE IT,EXPONENTIAL-E LTD,33859620,"-43,497.30"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,LABEX FACILITIES LLP,33859904,"126,227.04"
Department of Health,NHS Harrow CCG,30-Sep-20,Income tax <1Yr,BALANCE SHEET,HMRC,33876970,"30,980.80"
Department of Health,NHS Harrow CCG,30-Sep-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33876970,"1,210.00"
Department of Health,NHS Harrow CCG,30-Sep-20,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,33876970,"22,982.08"
Department of Health,NHS Harrow CCG,30-Sep-20,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,33876970,"16,134.10"
Department of Health,NHS Harrow CCG,30-Sep-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33876970,"-2,957.44"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,33895170,"54,409.70"
Department of Health,NHS Harrow CCG,30-Sep-20,Training Expenses,COMMISSIONING SCHEMES,HARROW HEALTH CIC,33895177,"94,277.00"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,HARROW HEALTH CIC,33895211,"105,334.17"
Department of Health,NHS Harrow CCG,30-Sep-20,Programme Support Costs,COMMUNITY SERVICES,HARROW HEALTH CIC,33895214,"89,739.25"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-PMS LES Phlebotomy,LOCAL ENHANCED SERVICES,HARROW HEALTH CIC,33895221,"36,347.50"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,DMC HEALTHCARE LTD,33895222,"34,082.00"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-GMS LES Anti-coagulation,LOCAL ENHANCED SERVICES,HARROW HEALTH CIC,33926539,"30,416.67"
Department of Health,NHS Harrow CCG,30-Sep-20,Clinical&Medical-Commercial Sector,MEDICINES MANAGEMENT - CLINICAL,FIRST DATABANK EUROPE LTD,33926728,"94,148.60"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,33956071,"32,483.21"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,33956071,"2,777.20"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956072,"-6,325.00"
Department of Health,NHS Harrow CCG,30-Sep-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956072,"-3,608.83"
Department of Health,NHS Harrow CCG,30-Sep-20,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956072,-300
Department of Health,NHS Harrow CCG,30-Sep-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956072,"-7,283.05"
Department of Health,NHS Harrow CCG,30-Sep-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956072,"-9,312.23"
Department of Health,NHS Harrow CCG,30-Sep-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956072,"-2,333.94"
Department of Health,NHS Harrow CCG,30-Sep-20,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,33956073,"181,833.59"
