Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Harrow CCG,31/10/2020,Programme Support Costs,COMMISSIONING SCHEMES,HARROW HEALTH CIC,34075620,"35,815.00"
Department of Health,NHS Harrow CCG,31/10/2020,Programme Support Costs,GENERAL RESERVE - PROGRAMME,HARROW HEALTH CIC,34075620,"13,118.00"
Department of Health,NHS Harrow CCG,31/10/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,34120634,"38,571.43"
Department of Health,NHS Harrow CCG,31/10/2020,Non-NHS trade<1Yr-LMC Levy Payment,BALANCE SHEET,LONDONWIDE LMCS,34130474,"44,288.00"
Department of Health,NHS Harrow CCG,31/10/2020,Non-NHS trade<1Yr-LMC Levy Payment,BALANCE SHEET,LONDONWIDE LMCS,34130485,"44,288.00"
Department of Health,NHS Harrow CCG,31/10/2020,Cont Care- Palliative Care,CHC AD FULL FUND PERS HLTH BUD,MY SUPPORT MONEY,34130530,"-31,099.14"
Department of Health,NHS Harrow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HARROW HEALTH CIC,34156441,"35,520.00"
Department of Health,NHS Harrow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,PHYSIOLINK CLINICS LTD,34156443,"25,534.00"
Department of Health,NHS Harrow CCG,31/10/2020,Income tax <1Yr,BALANCE SHEET,HMRC,34197292,"29,302.60"
Department of Health,NHS Harrow CCG,31/10/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,34197292,"1,190.00"
Department of Health,NHS Harrow CCG,31/10/2020,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,34197292,"22,402.07"
Department of Health,NHS Harrow CCG,31/10/2020,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,34197292,"15,667.36"
Department of Health,NHS Harrow CCG,31/10/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34197292,-556.4
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34201803,"84,667.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION,34201807,"2,330,100.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,"TRUST
CENTRAL & NORTH WEST LONDON NHS FOUNDATION",34201808,"45,067.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,"TRUST
CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST",34201809,"886,833.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,34201811,"108,000.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
EAST AND NORTH HERTFORDSHIRE NHS TRUST",34201812,"90,000.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,34201813,"122,833.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,34201814,"1,237,000.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,34201815,"789,000.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,34201816,"10,724,001.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,LONDON NORTH WEST HEALTHCARE NHS TRUST,34201817,"446,832.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,34201818,"676,500.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,34201819,"235,500.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,34201820,"988,000.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,34201821,"266,833.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34201822,"555,833.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS,34201823,"458,167.00"
Department of Health,NHS Harrow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"FOUNDATION TRUST
WEST HERTFORDSHIRE HOSPITALS NHS TRUST",34201824,"374,167.00"
Department of Health,NHS Harrow CCG,31/10/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HARROW SPECSAVERS HEARCARE LTD,34219472,"-70,204.00"
Department of Health,NHS Harrow CCG,31/10/2020,Programme Support Costs,GP FORWARD VIEW,HARROW HEALTH CIC,34219520,"42,583.33"
Department of Health,NHS Harrow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HARROW HEALTH CIC,34219600,"28,905.60"
Department of Health,NHS Harrow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HARROW HEALTH CIC,34238392,"38,130.00"
Department of Health,NHS Harrow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HARROW HEALTH CIC,34238395,"35,872.20"
Department of Health,NHS Harrow CCG,31/10/2020,Cont Care- Children,CHC CHILDREN,LONDON BOROUGH OF HARROW,34267873,"27,925.00"
Department of Health,NHS Harrow CCG,31/10/2020,Cont Care- Children,CHC CHILDREN,LONDON BOROUGH OF HARROW,34267900,"-27,925.00"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ADO THE ENTERPRISE PRACTICE,34288055,831.04
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,34288055,"32,180.53"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,34288055,"1,193.38"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,34288055,20.73
Department of Health,NHS Harrow CCG,31/10/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADO THE ENTERPRISE PRACTICE,34288055,"2,777.20"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288057,"-7,487.46"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288057,"-6,325.00"
Department of Health,NHS Harrow CCG,31/10/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288057,-300
Department of Health,NHS Harrow CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288057,"-6,102.84"
Department of Health,NHS Harrow CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288057,"-8,316.16"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"181,833.59"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR A KELSHIKER & PARTNER,34288060,"5,702.66"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"5,345.84"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"31,730.32"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"1,581.25"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"27,250.00"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,71.33
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,"4,672.33"
Department of Health,NHS Harrow CCG,31/10/2020,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR A KELSHIKER & PARTNER,34288060,363.89
