Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32827992,"-900,918.00"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION,32583735,"-255,420.11"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CASSIDY MEDICAL CENTRE,32800328,"-137,493.74"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32800166,"-102,869.00"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,32953153,"-44,321.43"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,WHITTINGTON HOSPITAL NHS TRUST (THE),32678514,"-37,609.38"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,NHS PROPERTY SERVICES LTD,32717156,"-35,370.58"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,NHS PROPERTY SERVICES LTD,32605730,"-30,704.63"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,32610081,"-19,733.22"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,32744323,"-16,981.36"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,32768614,"-14,555.22"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR JI KOPPEL,32809307,"-11,930.24"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR PFR FERNANDES,32768635,"-11,643.02"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR J HARROP-GRIFFITHS & PTRS,32866198,"-9,947.90"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,CASSIDY MEDICAL CENTRE,32672794,"-8,812.89"
Department of Health,NHS Hammersmith And Fulham CCG,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PARKVIEW PRACTICE,32744319,"-7,228.66"
