Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,DR JEFFERIES & PARTNERS,34109331,"51,469.73"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,34109333,"26,516.79"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,34109334,"28,740.60"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,GRACEFUL CARE LTD,34109336,"142,078.37"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,GENERAL RESERVE - PROGRAMME,CENTRAL LONDON COMMUNITY HEALTHCARE NHS,34141613,"45,000.00"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,"TRUST
CONNECT HEALTH LTD",34141617,"190,042.50"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,34141619,"58,373.96"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,MY LIFE CHOICE LTD,34141621,"27,224.00"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Cont Care-Learning Disab(<65),ADULT JOINT FUNDED CONTINUING CARE,SEQUENCE CARE LTD,34141624,"26,495.70"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,Clinical&Medical-Voluntary Sector,PALLIATIVE CARE,ROYAL TRINITY HOSPICE,34141630,"63,441.42"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CASSIDY MEDICAL CENTRE,34167047,"69,435.62"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CASSIDY MEDICAL CENTRE,34167047,"1,089.12"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CASSIDY MEDICAL CENTRE,34167047,"3,494.57"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,34167050,"-7,100.37"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,34167050,-63.2
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,34167050,-135.88
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,34167050,"-7,768.63"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,34167050,"-9,837.94"
Department of Health,NHS Hammersmith And Fulham CCG,31/10/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NORTH END MEDICAL CENTRE,34167050,-117.93
