Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hillingdon CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,32363323,"-475,048.00"
Department of Health,NHS Hillingdon CCG,31-May-20,Clinical&Medical-Not For Profit,GENERAL RESERVE - PROGRAMME,H4ALL CIC,32379121,"-74,426.38"
Department of Health,NHS Hillingdon CCG,31-May-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CONFEDERATION HILLINGDON CIC,32411668,"-41,331.00"
Department of Health,NHS Hillingdon CCG,31-May-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CONFEDERATION HILLINGDON CIC,32379194,"-38,878.00"
Department of Health,NHS Hillingdon CCG,31-May-20,Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,CARE UK COMMUNITY PARTNERSHIPS LTD,32363413,"-31,787.46"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,WEST LONDON MEDICAL CENTRE,32400876,44.02
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WALLASEY MEDICAL CENTRE,32422030,45.52
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,32422017,51.07
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,32422012,57.93
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,YIEWSLEY FAMILY PRACTICE,32422029,59.09
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WILLOW TREE SURGERY,32400878,60
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE BRUNEL UNIVERSITY,32422019,60
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CAREPOINT PRACTICE,32422009,64.14
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,32422014,74.48
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,32400846,80.69
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEATHROW MEDICAL CENTRE,32422016,82.77
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ACREFIELD SURGERY,32422008,88.04
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DEVONSHIRE LODGE PRACTICE EASTCOTE HEALTH CENTRE,32422011,95.7
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,32422014,95.7
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,32422028,97.25
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,32422012,106.38
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PINE MEDICAL CENTRE,32422025,109.66
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OXFORD DRIVE MEDICAL CENTRE,32422023,113.8
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GLENDALE MEDICAL CENTRE,32314204,115.14
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DEVONSHIRE LODGE PRACTICE EASTCOTE HEALTH CENTRE,32422011,121.14
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,32422014,121.14
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BELMONT MEDICAL CENTRE,32422007,124.13
Department of Health,NHS Hillingdon CCG,,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CEDARS MEDICAL CENTRE,,124.14
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,32400846,132.06
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CEDARS MEDICAL CENTRE,32422010,132.06
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,KINGSWAY SURGERY,32422018,132.42
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OAKLAND MEDICAL CENTRE,32422022,140.7
Department of Health,NHS Hillingdon CCG,,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,OTTERFIELD MEDICAL CENTRE,,151.8
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WEST LONDON MEDICAL CENTRE,32400876,161.38
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE DR S SHAPIRO & PARTNER,32422021,165.52
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HILLINGDON HEALTH CENTRE,32400857,176.08
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,32422017,180
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,WALLASEY MEDICAL CENTRE,32422030,180
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,SHAKESPEARE MEDICAL CENTRE,32422031,180
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAREFIELD HEALTH CENTRE,32422015,186.22
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,EASTBURY SURGERY,32422013,193.2
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLINGDON HEALTH CENTRE,32400857,206.9
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE DR SOLOMON & PARTNERS,32314206,210
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,32422012,210
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ACORN MEDICAL CENTRE,32400844,211.04
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WALLASEY MEDICAL CENTRE,32422029,222.94
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ACREFIELD SURGERY,32422008,225.53
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EASTBURY SURGERY,32422013,227.59
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DEVONSHIRE LODGE PRACTICE EASTCOTE HEALTH CENTRE,32422011,242.08
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST MARTINS MEDICAL CENTRE,32422025,264.12
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,UXBRIDGE HEALTH CENTRE,32422027,266.91
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,NORTH HYDE PRACTICE,32422032,270
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,UXBRIDGE HEALTH CENTRE,32422027,288.83
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,HAREFIELD HEALTH CENTRE,32422015,314.06
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,32422017,320.7
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LADYGATE LANE SURGERY,32314209,321.79
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ACREFIELD SURGERY,32422008,343.6
Department of Health,NHS Hillingdon CCG,31-May-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,32340718,349
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,TOWNFIELD DOCTORS SURGERY,32314208,358.8
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,32400846,377.12
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR M M SIDDIQUI,32422011,384.48
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,ACREFIELD SURGERY,32422008,390
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,32422014,396.18
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MEDICAL CENTRE BRUNEL UNIVERSITY,32422018,410.64
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WALLASEY MEDICAL CENTRE,32422030,410.71
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WILLOW TREE SURGERY,32400876,412.2
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,32422012,416.4
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PINE MEDICAL CENTRE,32422024,446.89
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,PARK VIEW SURGERY,32422024,450
Department of Health,NHS Hillingdon CCG,,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WILLOW TREE SURGERY,,483.01
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SHAKESPEARE MEDICAL CENTRE,32422030,484.22
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTH HYDE PRACTICE,32422032,496.84
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,32422012,507.77
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE DR S SHAPIRO & PARTNER,32422021,510
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,EASTBURY SURGERY,32422013,523.27
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,LADYGATE LANE SURGERY,32314209,528
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHAKESPEARE MEDICAL CENTRE,32422031,539.48
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,LADYGATE LANE SURGERY,32314209,540
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,ACREFIELD SURGERY,32422008,564
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HEATHROW MEDICAL CENTRE,32422015,567.57
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SOUTHCOTE CLINIC,32400872,613.77
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,32400846,618
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,HEATHROW MEDICAL CENTRE,32422016,630
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAYES MEDICAL CENTRE,32400859,645.53
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KINGSWAY SURGERY,32422018,650.22
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CEDARS MEDICAL CENTRE,32422010,658.57
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WEST LONDON MEDICAL CENTRE,32400876,659.31
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,MOUNTWOOD SURGERY,32314207,668.47
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,WALLASEY MEDICAL CENTRE,32422030,674
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EASTBURY SURGERY,32422012,676.26
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ACRE SURGERY NORTHWOOD HEALTH CENTRE,32314203,684.85
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE DR S SHAPIRO & PARTNER,32422021,704.32
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KING EDWARDS & SWAKELEYS MEDICAL CENTRE,32314205,704.4
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,TOWNFIELD DOCTORS SURGERY,32314208,705.03
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,YEADING COURT SURGERY,32400880,722.99
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BELMONT MEDICAL CENTRE,32422007,748.34
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,WILLOW TREE SURGERY,32400878,792
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ACORN MEDICAL CENTRE,32400844,807.39
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE BRUNEL UNIVERSITY,32422019,810
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,NORTH HYDE PRACTICE,32422031,814
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,32422012,832
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PINE MEDICAL CENTRE,32422025,832.56
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST MARTINS MEDICAL CENTRE,32422026,834.09
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OXFORD DRIVE MEDICAL CENTRE,32422023,837.04
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEATHROW MEDICAL CENTRE,32422016,842.43
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE DR SOLOMON & PARTNERS,32314206,843.47
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GLENDALE MEDICAL CENTRE,32314204,852.46
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,KINGSWAY SURGERY,32422017,856.43
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,32422014,864.57
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,SHAKESPEARE MEDICAL CENTRE,32422031,884
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,OXFORD DRIVE MEDICAL CENTRE,32422022,890.47
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,ACRE SURGERY NORTHWOOD HEALTH CENTRE,32314203,900
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCO Flex Career Scheme,PRC DELEGATED CO-COMMISSIONING,GLENDALE MEDICAL CENTRE,32314204,900
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,32422017,917.47
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,DEVONSHIRE LODGE PRACTICE EASTCOTE HEALTH CENTRE,32422011,923.04
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,PINE MEDICAL CENTRE,32422025,924.42
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,32422028,924.42
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GLENDALE MEDICAL CENTRE,32314204,930.2
Department of Health,NHS Hillingdon CCG,31-May-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,32358238,942
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HEATHROW MEDICAL CENTRE,32422016,968.44
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,32422017,973.5
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CAREPOINT PRACTICE,32422009,973.98
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PARK VIEW SURGERY,32422024,980.71
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HILLINGDON HEALTH CENTRE,32400846,990.7
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CAREPOINT PRACTICE,32422008,997.54
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,SOUTHCOTE CLINIC,32400859,"1,006.00"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,OAKLAND MEDICAL CENTRE,32422022,"1,028.70"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HAREFIELD HEALTH CENTRE,32422014,"1,052.31"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,YIEWSLEY FAMILY PRACTICE,32422029,"1,056.33"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,KINGSWAY SURGERY,32422018,"1,066.00"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DEVONSHIRE LODGE PRACTICE EASTCOTE HEALTH CENTRE,32422010,"1,067.46"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,CEDARS MEDICAL CENTRE,32422010,"1,078.00"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EASTCOTE HEALTH CENTRE,32422013,"1,078.48"
Department of Health,NHS Hillingdon CCG,31-May-20,C&M-GMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,WEST LONDON MEDICAL CENTRE,32400876,"1,080.00"
