Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hillingdon CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL FREE LONDON NHS FOUNDATION TRUST,33694965,"-232,786.00"
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HESA MEDICAL CENTRE,33485203,"-132,587.46"
Department of Health,NHS Hillingdon CCG,,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,ROYAL FREE LONDON NHS FOUNDATION TRUST,,"-101,280.00"
Department of Health,NHS Hillingdon CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Variation,GENERAL RESERVE - PROGRAMME,LONDON AMBULANCE SERVICE NHS TRUST,33517692,"-94,598.30"
Department of Health,NHS Hillingdon CCG,31-Aug-20,Hcare Srv Rec NHS Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,WEST LONDON NHS TRUST,33638735,"-35,639.00"
Department of Health,NHS Hillingdon CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Non Contract,GENERAL RESERVE - PROGRAMME,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33676236,"-33,208.32"
Department of Health,NHS Hillingdon CCG,31-Aug-20,Basic Sal-Rechgs to-from Other NHS,GENERAL RESERVE - PROGRAMME,NHS BRENT CCG,33517746,"-25,578.00"
Department of Health,NHS Hillingdon CCG,31-Aug-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,33615845,"-22,271.78"
Department of Health,NHS Hillingdon CCG,31-Aug-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,33615844,"-22,087.46"
Department of Health,NHS Hillingdon CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,EASTBURY SURGERY,33615800,"-16,034.89"
Department of Health,NHS Hillingdon CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,EASTBURY SURGERY,33615802,"-14,441.73"
Department of Health,NHS Hillingdon CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,33615845,"-4,013.42"
Department of Health,NHS Hillingdon CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,33615845,"-3,694.34"
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,YEADING COURT SURGERY,33615847,2.3
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M M SIDDIQUI,33631226,4.61
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ACORN MEDICAL CENTRE,33615792,6.91
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,YEADING COURT SURGERY,33615846,11.23
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CAREPOINT PRACTICE,33615793,11.52
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WALLASEY MEDICAL CENTRE,33615848,14.88
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WALLASEY MEDICAL CENTRE,33615850,16.12
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,33615846,16.13
Department of Health,NHS Hillingdon CCG,31-Aug-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,33615805,20.73
