Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hillingdon CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Over/ Under,GENERAL RESERVE - PROGRAMME,EAST AND NORTH HERTFORDSHIRE NHS TRUST,33829645,"-843,614.00"
Department of Health,NHS Hillingdon CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HARLINGTON HOSPICE ASSOCIATION,33768450,"-76,050.00"
Department of Health,NHS Hillingdon CCG,30-Sep-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,34064682,"-30,953.00"
Department of Health,NHS Hillingdon CCG,30-Sep-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CEDAR BROOK PRACTICE,33820506,"-9,458.04"
Department of Health,NHS Hillingdon CCG,30-Sep-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CEDAR BROOK PRACTICE,33820506,"-7,938.72"
Department of Health,NHS Hillingdon CCG,30-Sep-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CEDAR BROOK PRACTICE,33820506,"-7,905.09"
Department of Health,NHS Hillingdon CCG,30-Sep-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CEDAR BROOK PRACTICE,33820506,"-7,309.94"
Department of Health,NHS Hillingdon CCG,30-Sep-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33876971,"-2,393.32"
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHURCH ROAD SURGERY,33955886,3.95
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,33955886,4.61
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,YEADING COURT SURGERY,33955939,4.61
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ACORN MEDICAL CENTRE,33955883,9.21
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-APMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HESA MEDICAL CENTRE,33820523,11.01
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,OAKLAND MEDICAL CENTRE,33955920,11.01
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CAREPOINT PRACTICE,33955884,11.52
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE BRUNEL UNIVERSITY,33955913,11.52
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HAYES MEDICAL CENTRE,33955908,13.82
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WEST LONDON MEDICAL CENTRE,33955934,13.82
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,MEDICAL CENTRE BRUNEL UNIVERSITY,33955913,14.89
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EASTCOTE HEALTH CENTRE,33955897,20.73
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WARREN PRACTICE,33955938,27.64
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SOUTHCOTE CLINIC,33955928,33.02
Department of Health,NHS Hillingdon CCG,30-Sep-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ACRE SURGERY NORTHWOOD HEALTH CENTRE,33820505,33.29
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,YEADING COURT SURGERY,33955939,38.69
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,33955904,39.15
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ACRE SURGERY NORTHWOOD HEALTH CENTRE,33820505,44.02
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HAYES MEDICAL CENTRE,33955908,57.23
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEATHROW MEDICAL CENTRE,33955902,57.58
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WALLASEY MEDICAL CENTRE,33955942,59.88
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,HIGH STREET PRACTICE YIEWSLEY HEALTH CENTRE,33955904,61.37
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,33955886,66.03
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OXFORD DRIVE MEDICAL CENTRE,33955922,69.1
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ACORN MEDICAL CENTRE,33955883,78.08
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,TOWNFIELD DOCTORS SURGERY,33820520,78.36
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHAKESPEARE MEDICAL CENTRE,33955945,80.61
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SOUTHCOTE CLINIC,33955928,82.91
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HILLINGDON HEALTH CENTRE,33955906,87.51
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,OAKLAND MEDICAL CENTRE,33955920,96.72
Department of Health,NHS Hillingdon CCG,30-Sep-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CEDARS MEDICAL CENTRE,33955889,103.63
