Department,CCG,Date,Expense Type,Expsene Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,32421157,"-2,283,826.00"
Department of Health,NHS Hounslow CCG,31-May-20,Clinical&Medical-Commercial Sector,NHS 111,CARE UK (URGENT CARE) LTD,32379350,"-410,044.84"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32455906,"-382,584.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527429,"-324,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32321140,"-242,814.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ADVINIA CARE HOME LTD,32392311,"-111,636.57"
Department of Health,NHS Hounslow CCG,31-May-20,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,32455915,"-67,376.97"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527397,"-54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527402,"-54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527410,"-54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527417,"-54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BONDCARE (LONDON) LTD CONISTON,32527423,"-54,000.00"
Department of Health,NHS Hounslow CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32321162,"-51,703.02"
Department of Health,NHS Hounslow CCG,31-May-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,32336064,"-1,805.99"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,32406361,35.17
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,32406357,43.45
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,FIRST CARE PRACTICE DR MAHMUD & PTRS,32406385,44.02
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ST MARGARETS MEDICAL PRACTICE,32287416,49.82
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,56.29
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,32406364,64.14
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,32406395,70.35
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,94.74
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WEST4 GPS,32406402,101.38
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,32406377,104.89
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DP TRIPATHI,32406355,107.59
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,32406348,109.65
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,32406385,128.28
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,136.55
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MH MUZAFER,32406357,227.44
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,268.61
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S HEFFERNAN,32406372,268.97
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR G VENKATESHAM,32406355,282.78
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406350,344.39
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,32406395,352.16
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,32406375,362.08
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SM LANE,32406383,388.98
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,396.18
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR G VENKATESHAM,32406357,492.64
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR GM WILLIAMS,32314212,496.33
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WEST4 GPS,32406398,510.3
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR C LYNCH,32406346,526.5
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PENTELOW PRACTICE,32421157,538.11
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR MB PATEL,32406362,564.56
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MB PATEL,32406364,570.69
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,32406346,616.28
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRENTFORD FAMILY PRACTICE,32406406,618.3
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406350,632.89
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P GARCHA,32406365,652.06
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SK MAYOR,32406377,655.87
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WILLOW PRACTICE,32314214,670.92
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MH MUZAFER,32406361,693.51
Department of Health,NHS Hounslow CCG,31-May-20,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,32336064,760
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MA MEAGHER,32406362,777.45
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,32406404,783.13
Department of Health,NHS Hounslow CCG,31-May-20,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,32287418,811.68
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KINGFISHER PRACTICE DR VJ PHILIP & PARTNER,32287412,825.35
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR SPECHT & PARTNERS,32406383,825.52
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SKYWAYS MEDICAL CENTRE,32406402,836.38
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR DP TRIPATHI,32406352,846.13
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C LYNCH,32406348,898.24
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SPECHT & PARTNERS,32406385,921.9
Department of Health,NHS Hounslow CCG,31-May-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,REDWOOD PRACTICE DR P SHENTON & PARTNER,32287414,970.08
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR P LUTHRA,32406368,973.93
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N BURBIDGE,32406370,976.88
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR P LUTHRA,32406365,"1,021.18"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AM CROWE,32406350,"1,058.16"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,32406375,"1,073.73"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR SM HUNT,32406381,"1,079.01"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHESTNUT PRACTICE,32406346,"1,100.71"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GREEN PRACTICE HOUNSLOW,32406391,"1,124.29"
Department of Health,NHS Hounslow CCG,31-May-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST DAVIDS PRACTICE DR S R KUMAR,32406398,"1,124.35"
