Department of Health,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HOUNSLOW,33486215,"-146,030.20"
Department of Health,NHS Hounslow CCG,31-Aug-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33536019,"-109,770.76"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARGYLE HEALTH ISLEWORTH LTD,33486211,"-96,068.04"
Department of Health,NHS Hounslow CCG,,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,,"-86,646.36"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH HESTON & GREAT WEST SURGERY,33486219,"-75,576.65"
Department of Health,NHS Hounslow CCG,,Recharge : Received,PRIMARY CARE IT,NHS BRENT CCG,,"-55,083.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH BEDFONT,33486213,"-52,230.40"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585614,"-40,509.81"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HOUNSLOW MEDICAL CENTRE DR BC PATEL,33585612,"-38,587.72"
Department of Health,NHS Hounslow CCG,31-Aug-20,Recharge : Received,RECHARGES,NHS BRENT CCG,33555548,"-37,239.00"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585595,"-23,472.62"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR RM CHAMBERS,33585596,"-22,286.68"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486218,"-16,177.50"
Department of Health,NHS Hounslow CCG,31-Aug-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HMC HEALTH FELTHAM,33486218,"-15,187.50"
