Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,WEST LONDON NHS TRUST,34130013,"44,000.00"
Department of Health,NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,WEST LONDON NHS TRUST,34130021,"28,000.00"
Department of Health,NHS Hounslow CCG,31/10/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,CARE UK COMMUNITY PARTNERSHIPS LTD,34130132,"85,140.00"
Department of Health,NHS Hounslow CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,OMNES HEALTHCARE LTD,34131875,"47,920.42"
Department of Health,NHS Hounslow CCG,31/10/2020,Clinical&Medical-Commercial Sector,OUT OF HOURS,LONDON CENTRAL & WEST UNSCHEDULED CARE,34132091,"43,499.94"
Department of Health,NHS Hounslow CCG,31/10/2020,Clinical&Medical-Commercial Sector,OUT OF HOURS,"COLLABORATIVE
LONDON CENTRAL & WEST UNSCHEDULED CARE",34132105,"43,499.94"
Department of Health,NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,"COLLABORATIVE
WEST LONDON NHS TRUST",34132177,"-44,000.00"
Department of Health,NHS Hounslow CCG,31/10/2020,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,WEST LONDON NHS TRUST,34132180,"-28,000.00"
Department of Health,NHS Hounslow CCG,31/10/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ADVINIA CARE HOME LTD,34133364,"50,310.00"
Department of Health,NHS Hounslow CCG,31/10/2020,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,RAMSAY NEUROLOGICAL SERVICES,34133402,"26,217.86"
Department of Health,NHS Hounslow CCG,31/10/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HOUNSLOW CONSORTIUM LTD,34142441,"510,685.13"
Department of Health,NHS Hounslow CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,"58,798.89"
Department of Health,NHS Hounslow CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR DJ MENDEL,34167016,"1,136.70"
