Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS West London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32489191,"-542,016.00"
Department of Health,NHS West London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,32508300,"-190,644.00"
Department of Health,NHS West London CCG,31-May-20,Clinical&Medical-Independent Sector,GP FORWARD VIEW,HEALTH INTEGRATION PARTNERS LTD,32460747,"-46,800.00"
Department of Health,NHS West London CCG,31-May-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32508284,"-38,696.00"
Department of Health,NHS West London CCG,31-May-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32506104,"-28,831.00"
Department of Health,NHS West London CCG,31-May-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,32357864,"-1,112.80"
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EARLS COURT MEDICAL CENTRE,32421995,22.76
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ST QUINTIN HEALTH CENTRE,32400740,26.9
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,32400715,31.04
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,NOTTING HILL MEDICAL CENTRE,32421998,31.04
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ST QUINTIN HEALTH CENTRE,32400740,33.99
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ELGIN CLINIC,32400718,74.48
Department of Health,NHS West London CCG,31-May-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HEALTH CENTRE LONDON,32400727,88.04
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EARLS COURT MEDICAL CENTRE,32412320,98.58
Department of Health,NHS West London CCG,31-May-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,32400727,103.45
Department of Health,NHS West London CCG,31-May-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,SCARSDALE MEDICAL CENTRE,32288102,131.46
Department of Health,NHS West London CCG,31-May-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,32336184,149
Department of Health,NHS West London CCG,31-May-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ST QUINTIN HEALTH CENTRE,32400735,160.37
