Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS West London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,32850650,"-373,934.87"
Department of Health,NHS West London CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGS ROAD MEDICAL CENTRE,32690877,"-231,366.62"
Department of Health,NHS West London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,32715075,"-86,710.00"
Department of Health,NHS West London CCG,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,32715777,"-76,478.82"
Department of Health,NHS West London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32676990,"-59,864.00"
Department of Health,NHS West London CCG,30-Jun-20,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,MILDMAY MISSION HOSPITAL UK,32794796,"-33,997.00"
Department of Health,NHS West London CCG,30-Jun-20,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,MEDSTAR DOMICILIARY CARE SERVICES LTD,32794713,"-33,642.08"
Department of Health,NHS West London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,32571064,"-28,181.00"
Department of Health,NHS West London CCG,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,32770033,"-26,000.00"
Department of Health,NHS West London CCG,30-Jun-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,32661634,"-23,877.85"
Department of Health,NHS West London CCG,30-Jun-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,32661634,"-22,717.77"
