Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS West London CCG,31-Jul-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,33153812,"-113,020.00"
Department of Health,NHS West London CCG,31-Jul-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION,33103447,"-64,434.00"
Department of Health,NHS West London CCG,31-Jul-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33356381,"-63,509.41"
Department of Health,NHS West London CCG,,Clinical&Medical-Commercial Sector,OUT OF HOURS,NHS HOUNSLOW CCG,,"-49,000.00"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,GRAND UNION HEALTH CENTRE,33068770,"-46,289.27"
Department of Health,NHS West London CCG,31-Jul-20,Clinical&Medical-Commercial Sector,RECHARGES NHS PROPERTY SERVICES LTD,HYBRID WELLBEING LTD,33259987,"-45,000.00"
Department of Health,NHS West London CCG,31-Jul-20,Clinical&Medical-Commercial Sector,RECHARGES NHS PROPERTY SERVICES LTD,HYBRID WELLBEING LTD,33292453,"-45,000.00"
Department of Health,NHS West London CCG,31-Jul-20,Hcare Srv Rec NHS Trust-Contract Cost per Case,URGENT CARE,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,33153850,"-43,196.00"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,GRAND UNION HEALTH CENTRE,33068770,"-42,912.60"
Department of Health,NHS West London CCG,31-Jul-20,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,LONDON NORTH WEST HEALTHCARE NHS TRUST,33149257,"-37,234.00"
Department of Health,NHS West London CCG,31-Jul-20,Hcare Srv Rec NHS Trust,COMMUNITY SERVICES,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33076998,"-36,533.00"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,33193227,"-32,688.33"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,33193227,"-31,779.76"
Department of Health,NHS West London CCG,,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,OCTAVIA HOUSING,,"-28,758.90"
Department of Health,NHS West London CCG,31-Jul-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GRAND UNION HEALTH CENTRE,33068769,"-25,962.15"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GRAND UNION HEALTH CENTRE,33068770,"-24,698.04"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,SCARSDALE MEDICAL CENTRE,33068766,"-18,381.17"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,SCARSDALE MEDICAL CENTRE,33068766,"-16,755.52"
Department of Health,NHS West London CCG,31-Jul-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,33193234,"-12,493.20"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,33193235,"-11,728.67"
Department of Health,NHS West London CCG,31-Jul-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,33068766,"-10,512.65"
Department of Health,NHS West London CCG,31-Jul-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,33193226,"-9,867.93"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,33193227,"-8,577.82"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,33068768,"-7,980.91"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,33068768,"-7,558.17"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,33068768,"-6,884.59"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,33193235,"-5,169.46"
Department of Health,NHS West London CCG,31-Jul-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33149257,"-4,786.40"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,33193235,"-3,243.27"
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,GRAND UNION HEALTH CENTRE,33068770,"-2,835.00"
Department of Health,NHS West London CCG,31-Jul-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,33193235,"-1,445.34"
Department of Health,NHS West London CCG,31-Jul-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,SCARSDALE MEDICAL CENTRE,33068765,-634.64
Department of Health,NHS West London CCG,31-Jul-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HOLLAND PARK SURGERY LONDON,33091112,27
Department of Health,NHS West London CCG,31-Jul-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HOLLAND PARK SURGERY LONDON,33091112,41.75
Department of Health,NHS West London CCG,31-Jul-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,KNIGHTSBRIDGE MEDICAL CENTRE,33091113,90.51
Department of Health,NHS West London CCG,31-Jul-20,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,ELGIN CLINIC,33206003,131.98
Department of Health,NHS West London CCG,31-Jul-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,33146216,146
Department of Health,NHS West London CCG,31-Jul-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,EARLS COURT MEDICAL CENTRE,33193242,221.1
Department of Health,NHS West London CCG,31-Jul-20,Post Graduate Loan Payable,BALANCE SHEET,HMRC,33149257,248
Department of Health,NHS West London CCG,31-Jul-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,33068769,265.48
Department of Health,NHS West London CCG,31-Jul-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ELGIN CLINIC,33206003,276.58
Department of Health,NHS West London CCG,31-Jul-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRACTICE BEACON,33068763,308.25
Department of Health,NHS West London CCG,31-Jul-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MD MCKEOWN,33205999,327.13
