Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS West London CCG,31/10/2020,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,ROYAL HOSPITAL CHELSEA,34076865,"110,326.00"
Department of Health,NHS West London CCG,31/10/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,NISACRAFTCARE LTD,34076888,"27,120.00"
Department of Health,NHS West London CCG,31/10/2020,Cont Care- Adult 100% Fully Funded,MENTAL HEALTH SERVICES - ADULTS,ROYAL BOROUGH OF KENSINGTON&CHELSEA,34098316,"659,935.00"
Department of Health,NHS West London CCG,31/10/2020,Basic Sal-Admin & Clerical band 5,NCAS/OATS,NHS CENTRAL LONDON (WESTMINSTER) CCG,34106363,"29,430.65"
Department of Health,NHS West London CCG,31/10/2020,Basic Sal-Rechgs to-from Other NHS,COMMISSIONING - NON ACUTE,NHS BRENT CCG,34106364,"73,370.00"
Department of Health,NHS West London CCG,31/10/2020,Basic Sal-Rechgs to-from Other NHS,CONTRACT MANAGEMENT,NHS BRENT CCG,34106364,"154,859.00"
Department of Health,NHS West London CCG,31/10/2020,Basic Sal-Rechgs to-from Other NHS,PRIMARY CARE IT,NHS BRENT CCG,34106364,"32,725.00"
Department of Health,NHS West London CCG,31/10/2020,Programme Support Costs,NON RECURRENT PROGRAMMES,LONDON MEDICAL ASSOCIATES LTD,34123573,"-109,807.00"
Department of Health,NHS West London CCG,31/10/2020,Programme Support Costs,NON RECURRENT PROGRAMMES,LONDON MEDICAL ASSOCIATES LTD,34123575,"-82,565.00"
Department of Health,NHS West London CCG,31/10/2020,Programme Support Costs,NON RECURRENT PROGRAMMES,LONDON MEDICAL ASSOCIATES LTD,34123576,"-109,807.00"
Department of Health,NHS West London CCG,31/10/2020,Programme Support Costs,NON RECURRENT PROGRAMMES,LONDON MEDICAL ASSOCIATES LTD,34123578,"-82,565.00"
Department of Health,NHS West London CCG,31/10/2020,Programme Support Costs,NON RECURRENT PROGRAMMES,LATIMER COMMUNITY ART THERAPY,34129713,"38,049.00"
Department of Health,NHS West London CCG,31/10/2020,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,34129719,"77,308.49"
Department of Health,NHS West London CCG,31/10/2020,Clinical&Medical-Voluntary Sector,HOSPICES,ROYAL TRINITY HOSPICE,34129733,"85,507.83"
Department of Health,NHS West London CCG,31/10/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,34129753,"237,500.00"
Department of Health,NHS West London CCG,31/10/2020,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION,34145130,"57,444.25"
Department of Health,NHS West London CCG,31/10/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,"TRUST
AT MEDICS LTD BARLBY ROAD",34167694,"119,214.76"
Department of Health,NHS West London CCG,31/10/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34167694,"4,141.68"
Department of Health,NHS West London CCG,31/10/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34167694,"2,062.27"
Department of Health,NHS West London CCG,31/10/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,AT MEDICS LTD BARLBY ROAD,34167694,"4,284.50"
Department of Health,NHS West London CCG,31/10/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34167694,"1,694.15"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34167694,"6,719.46"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34167696,"55,131.91"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS DES Patient Participation,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34167696,"18,278.75"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS Growth,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34167696,"11,100.26"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34167696,"1,071.28"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34167696,"4,223.46"
Department of Health,NHS West London CCG,31/10/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHELSEA PRACTICE,34167698,"36,741.86"
