Dept Family,Organisation Name,Accounting Year,Period,Date,Transaction Number,Supplier,VAT Registration Number,Expense Area,Expense type,Amount
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1344739,Hsl (Analytics) Llp,223219932,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"39,600.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1389627,Quadient Uk Ltd,597265489,Rf:Rfh Post Room,Office Equipment,"30,258.12"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1392921,Alliance Medical Ltd,523318667,Ch:Sonography,Services Nhsts Clinical,"57,859.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1393103,Carleton Optical Equipment  Limited,696557666,Bh:Icu Resus Trolleys -Ref-274,Med&Surg Equipment,"36,014.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1393104,Carleton Optical Equipment  Limited,696557666,Bh:Icu Resus Trolleys -Ref-274,Med&Surg Equipment,"30,999.60"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403124,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403126,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403127,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403128,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403135,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403136,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403808,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403809,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1403811,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1411881,Ah Engineering Services Ltd,,Rf:Engineering,Eng Mnt-Ext Repairs,"31,500.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1411975,Darwin Group Limited,907075331,Bh:Modular Ward,Building Contracts,"4,285,810.91"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1411978,Haverstock Healthcare Ltd,215028936,Rf:A & E Nursing,Services Ccgs Clinical,"75,021.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1412143,Haverstock Healthcare Ltd,215028936,Bh:A&E Med Staff,Agency Other Medical,"82,617.75"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1412245,Artic Building Services Limited,718578593,Rf:Ucl-Maintenance,Building Contracts,"143,689.45"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1412280,Ah Engineering Services Ltd,,Rf:Engineering,Eng Mnt-Ext Repairs,"60,480.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,03/04/2020,1857,Edf Energy Customers Plc,523041202,Tw:Energy & Utilities,Electricity,"58,782.67"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1000959,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"94,279.79"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1000961,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"95,444.97"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1000963,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"85,634.69"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1000965,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"98,047.59"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1000966,Nhs Business Service Authority,654434729,Rf:Low Clearance Clinic,Community Drugs (Tedd),"83,154.14"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,13504,Bayer Plc,641958611,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"61,398.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,13508,Alcura Uk Ltd,603992727,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"39,995.86"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,13522,Gilead Sciences Ltd,792402037,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"103,614.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,13538,Janssen-Cilag Ltd,207929448,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"30,612.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,13545,Novartis Pharmaceuticals,557290227,Tw:Balance Sheet-Dispen. Serv,Pharmacy Issues & Receipts,"31,903.92"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1379383,Radiology Reporting Online Llp,134072836,Bh:Radiology,Healthcare Commercial Sector,"103,826.96"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1379433,Fisher & Paykel Healthcare Ltd,603894824,Rf:Icu Humidifiers Ref No 327,Med&Surg Equipment,"30,687.67"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1389516,Aquilant Endoscopy,753374618,Rf:Eus Replacement Ref No 311,Med&Surg Equipment,"64,516.01"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1398034,Kpmg Llp,791788859,Tw:Financial Director,Audit Fees - External,"27,183.37"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1402563,Anetic Aid Ltd,301258992,Rf:Replacement Trolleys Ref331,Med&Surg Equipment,"78,926.40"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1402972,Keystream Healthcare Resources Ltd,105919025,Rf:Epr2 (Royal Free),Other Non-Clinical Supplies,"48,208.80"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403097,Hsl (Fm) Llp,204055358,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"696,706.26"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403098,Hsl (Analytics) Llp,223219932,Bh:Pathology Managed Lab Serv.,Pathology Tests Joint Venture,"660,427.33"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403099,Hsl (Fm) Llp,204055358,Rf:General Pathology,Pathology Tests Joint Venture,"1,341,764.90"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403100,Hsl (Analytics) Llp,223219932,Rf:General Pathology,Pathology Tests Joint Venture,"938,348.49"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403719,Bytes Software Services Ltd,823818226,Tw:Information Man And Tech,Other Non-Clinical Supplies,"30,763.20"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403805,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1403806,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405473,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405474,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405871,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405918,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405919,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405920,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405921,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405922,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405923,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405924,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405925,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405926,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405929,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405930,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405931,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405932,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405933,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405934,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405935,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"38,400.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405937,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405941,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405942,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405945,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1405946,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406477,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406478,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406479,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406480,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406483,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406484,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406485,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406486,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406487,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406488,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406645,Dell Corporation Ltd,635823528,Tw:Pc Replacement Programme,Other Non-Clinical Supplies,"32,100.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1406961,Ellis Building Services Ltd,259448855,Rf:Mechanical Projects-Backlog,Estates Services Contracts,"27,217.73"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1407720,Ernst & Young Llp,773831408,Tw:Financial Director,Consultancy Fees,"42,150.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1411833,Siemens Healthcare Limited,479985260,Tw:Ultrasound 16 Nhsi Nhssc,Med&Surg Equipment,"40,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1411971,Ucl Consultants Ltd,524371168,Tw:Chief Executive,Consultancy Fees,"124,800.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1413462,Octapharma Limited,585216330,Tw:Balance Sheet,Pharmacy Issues & Receipts,"109,200.00"
Department of Health,Royal Free London NHS Foundation Trust,2020,1,09/04/2020,1413561,Shire Pharmaceuticals Ltd,,Tw:Balance Sheet,Pharmacy Issues & Receipts,"77,095.00"
